year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.784,0.0,0.386,0.0,7.53
1751,0.785,0.0,0.387,0.00211,7.54
1752,0.786,0.0,0.387,0.00421,7.56
1753,0.787,0.0,0.388,0.00632,7.57
1754,0.788,0.0,0.388,0.00842,7.58
1755,0.789,0.0,0.389,0.0105,7.59
1756,0.79,0.0,0.39,0.0126,7.6
1757,0.791,0.0,0.39,0.0147,7.62
1758,0.792,0.0,0.391,0.016800000000000002,7.63
1759,0.793,0.0,0.391,0.0189,7.64
1760,0.794,0.0,0.392,0.0211,7.65
1761,0.795,0.0,0.393,0.0232,7.66
1762,0.796,0.0,0.393,0.0253,7.67
1763,0.797,0.0,0.394,0.027399999999999997,7.69
1764,0.798,0.0,0.394,0.0295,7.7
1765,0.799,0.0,0.395,0.0316,7.71
1766,0.8,0.0,0.396,0.0337,7.72
1767,0.8,0.0,0.396,0.0358,7.73
1768,0.801,0.0,0.397,0.037899999999999996,7.75
1769,0.802,0.0,0.397,0.04,7.76
1770,0.803,0.0,0.398,0.0421,7.77
1771,0.804,0.0,0.399,0.0442,7.78
1772,0.805,0.0,0.399,0.046299999999999994,7.79
1773,0.806,0.0,0.4,0.0484,7.81
1774,0.807,0.0,0.401,0.0505,7.82
1775,0.808,0.0,0.401,0.0526,7.83
1776,0.809,0.0,0.402,0.054700000000000006,7.84
1777,0.81,0.0,0.402,0.056799999999999996,7.86
1778,0.811,0.0,0.403,0.0589,7.87
1779,0.812,0.0,0.404,0.0611,7.88
1780,0.812,0.0,0.404,0.0632,7.89
1781,0.813,0.0,0.405,0.0653,7.9
1782,0.814,0.0,0.406,0.0674,7.92
1783,0.815,0.0,0.406,0.0695,7.93
1784,0.816,0.0,0.407,0.0716,7.94
1785,0.817,0.0,0.407,0.0737,7.95
1786,0.818,0.0,0.408,0.07579999999999999,7.97
1787,0.819,0.0,0.409,0.07790000000000001,7.98
1788,0.82,0.0,0.409,0.08,7.99
1789,0.821,0.0,0.41,0.08209999999999999,8.0
1790,0.821,0.0,0.411,0.0842,8.01
1791,0.822,0.0,0.411,0.0863,8.03
1792,0.823,0.0,0.412,0.0884,8.04
1793,0.824,0.0,0.413,0.0905,8.05
1794,0.825,0.0,0.413,0.09259999999999999,8.07
1795,0.826,0.0,0.414,0.0947,8.08
1796,0.827,0.0,0.414,0.0968,8.09
1797,0.827,0.0,0.415,0.0989,8.1
1798,0.828,0.0,0.416,0.101,8.12
1799,0.829,0.0,0.416,0.103,8.13
1800,0.83,0.0,0.417,0.105,8.14
1801,0.831,0.0,0.418,0.107,8.15
1802,0.832,0.0,0.418,0.109,8.17
1803,0.833,0.0,0.419,0.112,8.18
1804,0.833,0.0,0.42,0.114,8.19
1805,0.834,0.0,0.42,0.116,8.2
1806,0.835,0.0,0.421,0.118,8.22
1807,0.836,0.0,0.422,0.12,8.23
1808,0.837,0.0,0.422,0.122,8.24
1809,0.838,0.0,0.423,0.124,8.25
1810,0.838,0.0,0.424,0.126,8.27
1811,0.839,0.0,0.424,0.128,8.28
1812,0.84,0.0,0.425,0.131,8.29
1813,0.841,0.0,0.426,0.133,8.31
1814,0.842,0.0,0.426,0.135,8.32
1815,0.842,0.0,0.427,0.137,8.33
1816,0.843,0.0,0.428,0.139,8.34
1817,0.844,0.0,0.428,0.141,8.36
1818,0.845,0.0,0.429,0.143,8.37
1819,0.846,0.0,0.43,0.145,8.38
1820,0.846,0.0,0.43,0.147,8.4
1821,0.849,0.0,0.432,0.149,8.43
1822,0.852,0.0,0.433,0.152,8.46
1823,0.854,0.0,0.435,0.154,8.49
1824,0.857,0.0,0.437,0.156,8.52
1825,0.859,0.0,0.438,0.158,8.56
1826,0.862,0.0,0.44,0.16,8.59
1827,0.865,0.0,0.442,0.162,8.62
1828,0.867,0.0,0.443,0.164,8.65
1829,0.87,0.0,0.445,0.166,8.68
1830,0.872,0.0,0.446,0.168,8.71
1831,0.875,0.0,0.448,0.171,8.74
1832,0.877,0.0,0.449,0.173,8.77
1833,0.88,0.0,0.451,0.175,8.8
1834,0.882,0.0,0.453,0.177,8.83
1835,0.884,0.0,0.454,0.179,8.86
1836,0.887,0.0,0.456,0.181,8.89
1837,0.889,0.0,0.457,0.183,8.92
