year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00571,0.0,0.252,1.21e-17,0.522
1751,0.005719999999999999,0.0,0.253,0.000703,0.523
1752,0.005730000000000001,0.0,0.253,0.00141,0.524
1753,0.00574,0.0,0.254,0.00211,0.525
1754,0.00575,0.0,0.254,0.00281,0.526
1755,0.0057599999999999995,0.0,0.255,0.00352,0.527
1756,0.00577,0.0,0.255,0.00422,0.528
1757,0.00578,0.0,0.256,0.00492,0.529
1758,0.00579,0.0,0.256,0.00562,0.53
1759,0.0058,0.0,0.257,0.00633,0.531
1760,0.005809999999999999,0.0,0.257,0.007030000000000001,0.532
1761,0.0058200000000000005,0.0,0.258,0.007730000000000001,0.533
1762,0.00583,0.0,0.259,0.00844,0.534
1763,0.00584,0.0,0.259,0.00914,0.535
1764,0.005849999999999999,0.0,0.26,0.00984,0.537
1765,0.005860000000000001,0.0,0.26,0.0105,0.538
1766,0.00587,0.0,0.261,0.0112,0.539
1767,0.00588,0.0,0.261,0.012,0.54
1768,0.005889999999999999,0.0,0.262,0.0127,0.541
1769,0.005889999999999999,0.0,0.262,0.0134,0.542
1770,0.005900000000000001,0.0,0.263,0.0141,0.543
1771,0.00591,0.0,0.263,0.0148,0.544
1772,0.00592,0.0,0.264,0.0155,0.545
1773,0.0059299999999999995,0.0,0.264,0.0162,0.546
1774,0.00594,0.0,0.265,0.0169,0.548
1775,0.00595,0.0,0.265,0.0176,0.549
1776,0.00596,0.0,0.266,0.0183,0.55
1777,0.00597,0.0,0.267,0.019,0.551
1778,0.00598,0.0,0.267,0.0197,0.552
1779,0.0059900000000000005,0.0,0.268,0.020399999999999998,0.553
1780,0.006,0.0,0.268,0.0211,0.554
1781,0.00601,0.0,0.269,0.0218,0.555
1782,0.006019999999999999,0.0,0.269,0.0225,0.556
1783,0.006030000000000001,0.0,0.27,0.0232,0.558
1784,0.00604,0.0,0.27,0.023899999999999998,0.559
1785,0.00605,0.0,0.271,0.0246,0.56
1786,0.006059999999999999,0.0,0.271,0.0253,0.561
1787,0.00607,0.0,0.272,0.026,0.562
1788,0.00608,0.0,0.272,0.026699999999999998,0.563
1789,0.00609,0.0,0.273,0.027399999999999997,0.564
1790,0.00609,0.0,0.274,0.0281,0.565
1791,0.0060999999999999995,0.0,0.274,0.0288,0.567
1792,0.00611,0.0,0.275,0.0295,0.568
1793,0.0061200000000000004,0.0,0.275,0.030199999999999998,0.569
