year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0048,0.0,0.221,0.0,0.48
1751,0.00481,0.0,0.221,0.000824,0.481
1752,0.00481,0.0,0.222,0.00165,0.482
1753,0.0048200000000000005,0.0,0.222,0.0024700000000000004,0.483
1754,0.00483,0.0,0.222,0.0033,0.484
1755,0.00484,0.0,0.223,0.00412,0.485
1756,0.004849999999999999,0.0,0.223,0.00495,0.486
1757,0.004849999999999999,0.0,0.224,0.00577,0.487
1758,0.004860000000000001,0.0,0.224,0.0066,0.488
1759,0.00487,0.0,0.225,0.0074199999999999995,0.489
1760,0.00488,0.0,0.225,0.00824,0.49
1761,0.004889999999999999,0.0,0.226,0.00907,0.491
1762,0.004889999999999999,0.0,0.226,0.009890000000000001,0.492
1763,0.004900000000000001,0.0,0.227,0.0107,0.493
1764,0.00491,0.0,0.227,0.0115,0.494
1765,0.00492,0.0,0.227,0.0124,0.495
1766,0.0049299999999999995,0.0,0.228,0.0132,0.496
1767,0.004940000000000001,0.0,0.228,0.014,0.497
1768,0.004940000000000001,0.0,0.229,0.0148,0.498
1769,0.00495,0.0,0.229,0.0157,0.499
1770,0.00496,0.0,0.23,0.0165,0.5
1771,0.00497,0.0,0.23,0.0173,0.501
1772,0.00498,0.0,0.231,0.0181,0.502
1773,0.00498,0.0,0.231,0.019,0.503
1774,0.0049900000000000005,0.0,0.232,0.0198,0.504
1775,0.005,0.0,0.232,0.0206,0.505
1776,0.00501,0.0,0.233,0.0214,0.506
1777,0.005019999999999999,0.0,0.233,0.0223,0.507
1778,0.005019999999999999,0.0,0.234,0.023100000000000002,0.508
1779,0.005030000000000001,0.0,0.234,0.023899999999999998,0.509
1780,0.00504,0.0,0.234,0.0247,0.51
1781,0.00505,0.0,0.235,0.0256,0.511
1782,0.005059999999999999,0.0,0.235,0.0264,0.512
1783,0.005059999999999999,0.0,0.236,0.0272,0.513
1784,0.00507,0.0,0.236,0.028,0.514
1785,0.00508,0.0,0.237,0.0289,0.515
1786,0.00509,0.0,0.237,0.0297,0.516
1787,0.0050999999999999995,0.0,0.238,0.0305,0.517
1788,0.0050999999999999995,0.0,0.238,0.0313,0.518
1789,0.00511,0.0,0.239,0.0322,0.52
1790,0.00512,0.0,0.239,0.033,0.521
1791,0.00513,0.0,0.24,0.0338,0.522
1792,0.00514,0.0,0.24,0.0346,0.523
1793,0.00514,0.0,0.241,0.0355,0.524
1794,0.00515,0.0,0.241,0.0363,0.525
1795,0.0051600000000000005,0.0,0.242,0.0371,0.526
1796,0.00517,0.0,0.242,0.037899999999999996,0.527
1797,0.00517,0.0,0.243,0.038700000000000005,0.528
1798,0.00518,0.0,0.243,0.0396,0.529
1799,0.00519,0.0,0.244,0.0404,0.53
1800,0.0052,0.0,0.244,0.0412,0.531
1801,0.00521,0.0,0.245,0.042,0.532
1802,0.00521,0.0,0.245,0.0429,0.533
1803,0.00522,0.0,0.246,0.0437,0.534
1804,0.00523,0.0,0.246,0.0445,0.536
1805,0.00524,0.0,0.247,0.0453,0.537
1806,0.00524,0.0,0.247,0.046200000000000005,0.538
1807,0.00525,0.0,0.248,0.047,0.539
1808,0.00526,0.0,0.248,0.047799999999999995,0.54
1809,0.0052699999999999995,0.0,0.249,0.048600000000000004,0.541
1810,0.0052699999999999995,0.0,0.249,0.0495,0.542
1811,0.00528,0.0,0.25,0.0503,0.543
1812,0.00529,0.0,0.25,0.0511,0.544
1813,0.0053,0.0,0.251,0.0519,0.545
1814,0.0053,0.0,0.251,0.0528,0.546
1815,0.00531,0.0,0.252,0.0536,0.548
1816,0.00532,0.0,0.252,0.0544,0.549
1817,0.00533,0.0,0.253,0.055200000000000006,0.55
1818,0.00533,0.0,0.253,0.056100000000000004,0.551
1819,0.00534,0.0,0.254,0.0569,0.552
1820,0.00535,0.0,0.254,0.0577,0.553
1821,0.00536,0.0,0.255,0.0585,0.555
1822,0.00537,0.0,0.256,0.0594,0.556
1823,0.00538,0.0,0.256,0.060200000000000004,0.558
1824,0.0054,0.0,0.257,0.061,0.559
1825,0.00541,0.0,0.258,0.061799999999999994,0.561
1826,0.00542,0.0,0.258,0.0627,0.562
1827,0.00543,0.0,0.259,0.0635,0.564
1828,0.00544,0.0,0.26,0.0643,0.565
1829,0.00545,0.0,0.261,0.06509999999999999,0.567
1830,0.00546,0.0,0.261,0.066,0.568
1831,0.0054800000000000005,0.0,0.262,0.0668,0.57
1832,0.00549,0.0,0.263,0.0676,0.572
1833,0.00551,0.0,0.264,0.0684,0.574
1834,0.00552,0.0,0.265,0.0693,0.576
1835,0.00554,0.0,0.266,0.0701,0.578
1836,0.00555,0.0,0.267,0.0709,0.58
1837,0.00557,0.0,0.268,0.0717,0.582
1838,0.00558,0.0,0.268,0.0726,0.584
1839,0.0055899999999999995,0.0,0.269,0.0734,0.586
1840,0.00561,0.0,0.27,0.0742,0.588
1841,0.00562,0.0,0.271,0.075,0.59
1842,0.00564,0.0,0.272,0.07590000000000001,0.592
1843,0.0056500000000000005,0.0,0.273,0.0767,0.594
1844,0.00567,0.0,0.274,0.0775,0.596
1845,0.005679999999999999,0.0,0.275,0.0783,0.598
1846,0.0057,0.0,0.276,0.07909999999999999,0.6
1847,0.00571,0.0,0.277,0.08,0.602
1848,0.005730000000000001,0.0,0.278,0.0808,0.604
1849,0.00574,0.0,0.279,0.08159999999999999,0.606
1850,0.008060000000000001,0.0127,0.279,0.0824,0.607
1851,0.008119999999999999,0.013,0.28,0.0833,0.61
1852,0.00818,0.013300000000000001,0.282,0.0841,0.613
1853,0.00824,0.0135,0.283,0.0849,0.617
1854,0.0083,0.013699999999999999,0.285,0.0857,0.62
1855,0.00836,0.013900000000000001,0.286,0.0866,0.623
1856,0.00841,0.0141,0.287,0.0874,0.626
1857,0.00845,0.0143,0.288,0.0882,0.628
1858,0.008490000000000001,0.0144,0.29,0.089,0.631
1859,0.00853,0.0145,0.291,0.08990000000000001,0.633
1860,0.00856,0.0146,0.292,0.0907,0.635
1861,0.00858,0.0146,0.292,0.0915,0.637
1862,0.0086,0.0146,0.293,0.0923,0.639
1863,0.00861,0.0146,0.294,0.0932,0.641
1864,0.00863,0.0146,0.295,0.094,0.643
1865,0.00865,0.0146,0.296,0.0948,0.644
1866,0.00867,0.0147,0.297,0.09559999999999999,0.646
1867,0.00869,0.0147,0.298,0.0965,0.648
1868,0.00871,0.0147,0.298,0.0973,0.65
1869,0.00873,0.0147,0.299,0.09809999999999999,0.652
1870,0.00875,0.0147,0.3,0.0989,0.654
1871,0.00881,0.015,0.302,0.0998,0.657
1872,0.00894,0.0156,0.304,0.101,0.663
1873,0.00912,0.0165,0.307,0.101,0.67
1874,0.00934,0.0176,0.311,0.102,0.678
1875,0.00958,0.0189,0.314,0.103,0.688
1876,0.00982,0.0201,0.318,0.104,0.697
1877,0.0101,0.0213,0.322,0.105,0.706
1878,0.0103,0.0224,0.325,0.106,0.714
1879,0.0104,0.0232,0.328,0.106,0.721
1880,0.0105,0.0237,0.33,0.107,0.726
1881,0.0106,0.024,0.332,0.108,0.729
1882,0.0107,0.0242,0.333,0.109,0.732
1883,0.0107,0.024399999999999998,0.334,0.11,0.735
1884,0.0108,0.0246,0.336,0.11,0.738
1885,0.0108,0.0247,0.337,0.111,0.741
1886,0.0108,0.0249,0.338,0.112,0.744
1887,0.0109,0.025,0.339,0.113,0.747
1888,0.0109,0.0252,0.341,0.114,0.749
1889,0.011,0.0253,0.342,0.115,0.752
1890,0.011699999999999999,0.0255,0.343,0.115,0.766
1891,0.012,0.0257,0.348,0.116,0.778
1892,0.0123,0.026,0.353,0.117,0.791
1893,0.0126,0.026199999999999998,0.357,0.118,0.804
1894,0.013,0.0264,0.362,0.119,0.817
1895,0.013300000000000001,0.026699999999999998,0.367,0.12,0.83
1896,0.0178,0.027100000000000003,0.371,0.12,0.844
1897,0.0715,0.030100000000000002,0.376,0.121,0.857
1898,0.142,0.034,0.381,0.122,0.871
1899,0.105,0.0324,0.386,0.123,0.884
1900,0.138,0.0344,0.391,0.124,0.898
1901,0.213,0.0386,0.393,0.124,0.907
1902,0.303,0.0436,0.396,0.125,0.916
1903,0.259,0.0419,0.399,0.126,0.925
1904,0.263,0.0426,0.402,0.127,0.934
1905,0.301,0.0451,0.406,0.128,0.943
1906,0.326,0.047,0.409,0.129,0.952
1907,0.421,0.052399999999999995,0.412,0.129,0.962
1908,0.479,0.056,0.415,0.13,0.972
1909,0.566,0.061,0.419,0.131,0.982
1910,0.71,0.0689,0.422,0.132,0.993
1911,0.78,0.073,0.425,0.133,1.01
1912,0.85,0.07709999999999999,0.429,0.134,1.02
