year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,7.25e-06
1922,2.69e-05
1923,5.59e-05
1924,9.11e-05
1925,0.000129
1926,0.00016800000000000002
1927,0.000203
1928,0.000232
1929,0.000252
1930,0.000259
1931,0.000253
1932,0.000237
1933,0.000214
1934,0.000185
1935,0.000154
1936,0.000123
1937,9.49e-05
1938,7.14e-05
1939,5.55e-05
1940,4.97e-05
1941,5.13e-05
1942,5.59e-05
1943,6.31e-05
1944,7.230000000000001e-05
1945,8.33e-05
1946,9.54e-05
1947,0.000108
1948,0.000122
1949,0.000135
1950,0.000148
1951,0.000161
1952,0.000175
1953,0.00019
1954,0.000207
1955,0.000224
1956,0.000243
1957,0.000263
1958,0.00028399999999999996
1959,0.000307
1960,0.00033
1961,0.000356
1962,0.000386
1963,0.00041999999999999996
1964,0.000458
1965,0.0005
1966,0.000545
1967,0.000594
1968,0.000646
1969,0.0007019999999999999
1970,0.000761
1971,0.000833
1972,0.000928
1973,0.0010400000000000001
1974,0.00117
1975,0.0013
1976,0.0014399999999999999
1977,0.00159
1978,0.00173
1979,0.00186
1980,0.00198
1981,0.0021000000000000003
1982,0.00222
1983,0.00234
1984,0.00246
1985,0.0025800000000000003
1986,0.0027
1987,0.00282
1988,0.00294
1989,0.0030600000000000002
1990,0.00317
1991,0.00337
1992,0.00373
1993,0.00421
1994,0.0048
1995,0.00546
1996,0.0061600000000000005
1997,0.00688
1998,0.0076
1999,0.00827
2000,0.00418
2001,0.0132
2002,0.023
2003,0.0175
2004,0.0119
2005,0.018
2006,0.027800000000000002
2007,0.09259999999999999
2008,0.158
2009,0.102
2010,0.0445
2011,0.0223
2012,7.51e-05
2013,0.166
2014,0.331
2015,0.24
2016,0.149
2017,0.167
2018,0.173
2019,0.188
2020,0.201
2021,0.215
2022,0.226
2023,0.239
