year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00346,0.0,0.00604,0.0,0.234
1751,0.00347,0.0,0.00607,0.00026900000000000003,0.235
1752,0.00349,0.0,0.0060999999999999995,0.000539,0.236
1753,0.0035,0.0,0.00614,0.000808,0.238
1754,0.0035099999999999997,0.0,0.00617,0.00108,0.239
1755,0.0035299999999999997,0.0,0.0062,0.00135,0.24
1756,0.00354,0.0,0.00623,0.0016200000000000001,0.241
1757,0.0035499999999999998,0.0,0.00626,0.00189,0.243
1758,0.00357,0.0,0.0063,0.00216,0.244
1759,0.0035800000000000003,0.0,0.00633,0.0024300000000000003,0.245
1760,0.00359,0.0,0.00636,0.00269,0.246
1761,0.00361,0.0,0.00639,0.00296,0.248
1762,0.00362,0.0,0.00643,0.00323,0.249
1763,0.00363,0.0,0.00646,0.0035,0.25
1764,0.00365,0.0,0.00649,0.00377,0.251
1765,0.00366,0.0,0.00653,0.00404,0.253
1766,0.00367,0.0,0.00656,0.00431,0.254
1767,0.00369,0.0,0.0065899999999999995,0.00458,0.255
1768,0.0037,0.0,0.00663,0.004849999999999999,0.257
1769,0.0037099999999999998,0.0,0.00666,0.00512,0.258
1770,0.00373,0.0,0.006690000000000001,0.00539,0.259
1771,0.0037400000000000003,0.0,0.006730000000000001,0.00566,0.261
1772,0.00375,0.0,0.0067599999999999995,0.0059299999999999995,0.262
1773,0.00377,0.0,0.0068,0.0062,0.263
1774,0.00378,0.0,0.00683,0.00647,0.265
1775,0.00379,0.0,0.00687,0.00674,0.266
1776,0.00381,0.0,0.006900000000000001,0.00701,0.267
1777,0.00382,0.0,0.00694,0.00728,0.269
1778,0.00383,0.0,0.00698,0.00754,0.27
1779,0.0038399999999999997,0.0,0.00701,0.007809999999999999,0.272
1780,0.0038599999999999997,0.0,0.00705,0.00808,0.273
1781,0.00387,0.0,0.00708,0.00835,0.274
1782,0.0038799999999999998,0.0,0.0071200000000000005,0.00862,0.276
1783,0.0039,0.0,0.0071600000000000006,0.00889,0.277
1784,0.00391,0.0,0.00719,0.00916,0.279
1785,0.00392,0.0,0.00723,0.00943,0.28
1786,0.00394,0.0,0.0072699999999999996,0.009699999999999999,0.282
