year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0129
1851,0.0129
1852,0.0129
1853,0.0129
1854,0.0129
1855,0.0129
1856,0.0129
1857,0.0129
1858,0.0129
1859,0.0129
1860,0.0129
1861,0.0129
1862,0.0129
1863,0.0129
1864,0.0129
1865,0.0129
1866,0.0129
1867,0.0129
1868,0.0129
1869,0.0129
1870,0.0129
1871,0.0129
1872,0.0129
1873,0.0129
1874,0.0129
1875,0.0129
1876,0.0129
1877,0.0129
1878,0.0129
1879,0.0129
1880,0.0129
1881,0.0129
1882,0.0129
1883,0.0129
1884,0.0129
1885,0.0129
1886,0.0129
1887,0.0129
1888,0.0129
1889,0.0129
1890,0.0129
1891,0.015099999999999999
1892,0.0212
1893,0.0303
1894,0.0419
1895,0.055
1896,0.069
1897,0.0831
1898,0.0965
1899,0.109
1900,0.118
1901,0.126
1902,0.134
1903,0.14
1904,0.147
1905,0.153
1906,0.159
1907,0.166
1908,0.173
1909,0.181
1910,0.189
1911,0.198
1912,0.208
1913,0.218
1914,0.229
1915,0.241
1916,0.253
1917,0.265
1918,0.279
1919,0.293
1920,0.307
1921,0.366
1922,0.502
1923,0.701
1924,0.948
1925,1.23
1926,1.52
1927,1.82
1928,2.11
1929,2.37
1930,2.59
1931,2.77
1932,2.95
1933,3.12
1934,3.29
1935,3.45
1936,3.61
1937,3.78
1938,3.94
1939,4.1
1940,4.27
1941,4.49
1942,4.79
1943,5.16
1944,5.59
1945,6.06
1946,6.57
1947,7.1
1948,7.64
1949,8.18
1950,8.71
1951,9.25
1952,9.81
1953,10.4
1954,11.0
1955,11.6
1956,12.3
1957,13.0
1958,13.7
1959,14.4
1960,15.1
1961,15.8
1962,16.6
1963,17.4
1964,18.3
1965,19.1
1966,20.0
1967,20.9
1968,21.8
1969,22.6
1970,23.4
1971,24.5
1972,26.1
1973,28.2
1974,30.7
1975,33.4
1976,36.2
1977,39.1
1978,41.9
1979,44.6
1980,47.0
1981,49.3
1982,51.9
1983,54.5
1984,57.2
1985,59.8
1986,62.2
1987,64.2
1988,65.9
1989,67.0
1990,67.0
1991,67.1
1992,69.2
1993,73.5
1994,80.8
1995,96.3
1996,108.0
1997,118.0
1998,124.0
1999,132.0
2000,134.0
2001,134.0
2002,138.0
2003,141.0
2004,143.0
2005,145.0
2006,151.0
2007,157.0
2008,163.0
2009,168.0
2010,175.0
2011,179.0
2012,179.0
2013,179.0
2014,184.0
2015,186.0
2016,186.0
2017,185.0
2018,186.0
2019,190.0
2020,191.0
2021,194.0
2022,196.0
2023,198.0
