year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.011300000000000001
1851,0.011300000000000001
1852,0.011300000000000001
1853,0.011300000000000001
1854,0.011300000000000001
1855,0.011300000000000001
1856,0.011300000000000001
1857,0.011300000000000001
1858,0.011300000000000001
1859,0.011300000000000001
1860,0.011300000000000001
1861,0.011300000000000001
1862,0.011300000000000001
1863,0.011300000000000001
1864,0.011300000000000001
1865,0.011300000000000001
1866,0.011300000000000001
1867,0.011300000000000001
1868,0.011300000000000001
1869,0.011300000000000001
1870,0.011300000000000001
1871,0.011300000000000001
1872,0.011300000000000001
1873,0.011300000000000001
1874,0.011300000000000001
1875,0.011300000000000001
1876,0.011300000000000001
1877,0.011300000000000001
1878,0.011300000000000001
1879,0.011300000000000001
1880,0.011300000000000001
1881,0.011300000000000001
1882,0.011300000000000001
1883,0.011300000000000001
1884,0.011300000000000001
1885,0.011300000000000001
1886,0.011300000000000001
1887,0.011300000000000001
1888,0.011300000000000001
1889,0.011300000000000001
1890,0.011300000000000001
1891,0.013
1892,0.0175
1893,0.024300000000000002
1894,0.032799999999999996
1895,0.0426
1896,0.053
1897,0.0634
1898,0.0734
1899,0.0823
1900,0.0896
1901,0.0955
1902,0.101
1903,0.106
1904,0.111
1905,0.115
1906,0.12
1907,0.125
1908,0.13
1909,0.136
1910,0.142
1911,0.149
1912,0.156
1913,0.164
1914,0.172
1915,0.18
1916,0.189
1917,0.199
1918,0.209
1919,0.219
1920,0.23
1921,0.279
1922,0.396
1923,0.569
1924,0.783
1925,1.03
1926,1.28
1927,1.54
1928,1.79
1929,2.01
1930,2.2
1931,2.36
1932,2.51
1933,2.66
1934,2.8
1935,2.94
1936,3.07
1937,3.21
1938,3.35
1939,3.49
1940,3.64
1941,3.84
1942,4.13
1943,4.48
1944,4.9
1945,5.37
1946,5.87
1947,6.39
1948,6.91
1949,7.44
1950,7.94
1951,8.45
1952,8.98
1953,9.54
1954,10.1
1955,10.7
1956,11.3
1957,11.9
1958,12.6
1959,13.2
1960,13.9
1961,14.6
1962,15.3
1963,16.0
1964,16.8
1965,17.6
1966,18.4
1967,19.2
1968,20.0
1969,20.7
1970,21.5
1971,22.6
1972,24.2
1973,26.3
1974,28.8
1975,31.6
1976,34.5
1977,37.5
1978,40.4
1979,43.1
1980,45.5
1981,47.9
1982,50.6
1983,53.4
1984,56.2
1985,58.9
1986,61.3
1987,63.5
1988,65.2
1989,66.3
1990,66.5
1991,66.5
1992,68.6
1993,72.6
1994,79.1
1995,93.0
1996,103.0
1997,112.0
1998,117.0
1999,124.0
2000,125.0
2001,125.0
2002,129.0
2003,131.0
2004,133.0
2005,135.0
2006,139.0
2007,144.0
2008,149.0
2009,153.0
2010,159.0
2011,162.0
2012,161.0
2013,161.0
2014,165.0
2015,166.0
2016,166.0
2017,165.0
2018,165.0
2019,169.0
2020,169.0
2021,171.0
2022,172.0
2023,174.0
