year,IPC1,IPC2,IPC4,IPCMAG
1750,2.4899999999999997e-07,9.050000000000001e-08,0.0,0.0
1751,2.4899999999999997e-07,9.07e-08,0.0,0.0
1752,2.4899999999999997e-07,9.09e-08,0.0,0.0
1753,2.4899999999999997e-07,9.100000000000001e-08,0.0,0.0
1754,2.4899999999999997e-07,9.12e-08,0.0,0.0
1755,2.4899999999999997e-07,9.14e-08,0.0,0.0
1756,2.66e-07,9.610000000000001e-08,0.0,0.0
1757,2.66e-07,9.63e-08,0.0,0.0
1758,2.66e-07,9.64e-08,0.0,0.0
1759,2.66e-07,9.66e-08,0.0,0.0
1760,2.66e-07,9.679999999999999e-08,0.0,0.0
1761,2.92e-07,1.0399999999999999e-07,0.0,0.0
1762,2.92e-07,1.0399999999999999e-07,0.0,0.0
1763,2.92e-07,1.0399999999999999e-07,0.0,0.0
1764,2.92e-07,1.0399999999999999e-07,0.0,0.0
1765,2.92e-07,1.0399999999999999e-07,0.0,0.0
1766,3.2600000000000003e-07,1.14e-07,0.0,0.0
1767,3.2600000000000003e-07,1.14e-07,0.0,0.0
1768,3.2600000000000003e-07,1.14e-07,0.0,0.0
1769,3.2600000000000003e-07,1.14e-07,0.0,0.0
1770,3.2600000000000003e-07,1.14e-07,0.0,0.0
1771,3.6200000000000004e-07,1.24e-07,0.0,0.0
1772,3.6200000000000004e-07,1.24e-07,0.0,0.0
1773,3.6200000000000004e-07,1.24e-07,0.0,0.0
1774,3.6200000000000004e-07,1.25e-07,0.0,0.0
1775,3.6200000000000004e-07,1.25e-07,0.0,0.0
1776,4.0000000000000003e-07,1.35e-07,0.0,0.0
1777,4.0000000000000003e-07,1.35e-07,0.0,0.0
1778,4.0000000000000003e-07,1.35e-07,0.0,0.0
1779,4.0000000000000003e-07,1.36e-07,0.0,0.0
1780,4.0000000000000003e-07,1.36e-07,0.0,0.0
1781,4.48e-07,1.49e-07,0.0,0.0
1782,4.48e-07,1.49e-07,0.0,0.0
1783,4.48e-07,1.49e-07,0.0,0.0
1784,4.48e-07,1.49e-07,0.0,0.0
1785,4.48e-07,1.5e-07,0.0,0.0
1786,5.09e-07,1.66e-07,0.0,0.0
1787,5.09e-07,1.66e-07,0.0,0.0
1788,5.09e-07,1.66e-07,0.0,0.0
1789,5.09e-07,1.67e-07,0.0,0.0
1790,5.1e-07,1.67e-07,0.0,0.0
1791,5.69e-07,1.83e-07,0.0,0.0
1792,5.699999999999999e-07,2.03e-07,0.0,0.0
1793,5.699999999999999e-07,2.04e-07,0.0,0.0
1794,5.699999999999999e-07,2.02e-07,0.0,0.0
1795,5.699999999999999e-07,2.03e-07,0.0,0.0
1796,5.96e-07,2.14e-07,0.0,0.0
1797,6.26e-07,2.22e-07,0.0,0.0
1798,6.520000000000001e-07,2.3100000000000002e-07,0.0,0.0
1799,6.86e-07,2.42e-07,0.0,0.0
1800,7.079999999999999e-07,2.55e-07,0.0,0.0
1801,7.1e-07,2.45e-07,0.0,0.0
1802,8.94e-07,6.53e-07,0.0,0.0
1803,8.03e-07,2.7e-07,0.0,0.0
1804,9.82e-07,3.8999999999999997e-07,0.0,0.0
1805,8.37e-07,3.01e-07,0.0,0.0
1806,8.84e-07,3.1e-07,0.0,0.0
1807,9.079999999999999e-07,4.04e-07,0.0,0.0
1808,8.85e-07,3.09e-07,0.0,0.0
1809,8.85e-07,3.1e-07,0.0,0.0
1810,1.06e-06,4.09e-07,0.0,0.0
1811,1.1100000000000002e-06,4.2e-07,0.0,0.0
1812,1.16e-06,4.37e-07,0.0,0.0
1813,1.16e-06,4.32e-07,0.0,0.0
1814,1.1800000000000001e-06,4.39e-07,0.0,0.0
1815,1.22e-06,4.63e-07,0.0,0.0
1816,1.2999999999999998e-06,5.46e-07,0.0,0.0
1817,1.33e-06,5.99e-07,0.0,0.0
1818,1.31e-06,5.94e-07,0.0,0.0
1819,1.37e-06,6.23e-07,0.0,0.0
1820,1.41e-06,6.54e-07,0.0,0.0
1821,1.43e-06,6.71e-07,0.0,0.0
1822,1.49e-06,6.96e-07,0.0,0.0
1823,1.55e-06,7.280000000000001e-07,0.0,0.0
1824,1.64e-06,7.32e-07,0.0,0.0
1825,1.6900000000000001e-06,8.03e-07,0.0,0.0
1826,1.72e-06,8.13e-07,0.0,0.0
1827,1.93e-06,9.28e-07,0.0,0.0
1828,1.96e-06,9.44e-07,0.0,0.0
1829,1.9699999999999998e-06,9.2e-07,0.0,0.0
1830,2.4e-06,1.39e-06,0.0,0.0
1831,2.3e-06,1.25e-06,0.0,0.0
1832,2.35e-06,1.24e-06,0.0,0.0
1833,2.38e-06,1.29e-06,0.0,0.0
1834,2.5400000000000002e-06,1.4e-06,0.0,0.0
1835,2.57e-06,1.46e-06,0.0,0.0
1836,2.98e-06,1.66e-06,0.0,0.0
1837,2.97e-06,1.74e-06,0.0,0.0
1838,3.09e-06,1.8600000000000002e-06,0.0,0.0
1839,3.14e-06,1.94e-06,0.0,0.0
1840,3.2599999999999997e-06,2.13e-06,0.0,0.0
1841,3.47e-06,2.27e-06,0.0,0.0
1842,3.64e-06,2.45e-06,0.0,0.0
1843,3.71e-06,2.38e-06,0.0,0.0
1844,3.9300000000000005e-06,2.57e-06,0.0,0.0
1845,4.34e-06,2.8900000000000003e-06,0.0,0.0
1846,4.32e-06,3.28e-06,0.0,0.0
1847,4.71e-06,3.59e-06,0.0,0.0
1848,4.5599999999999995e-06,3.42e-06,0.0,0.0
1849,4.79e-06,3.5100000000000003e-06,0.0,0.0
1850,5.15e-06,3.8e-06,0.0,0.0
1851,5.03e-06,3.910000000000001e-06,0.0,0.0
1852,5.21e-06,4.26e-06,0.0,0.0
1853,5.55e-06,4.63e-06,0.0,0.0
1854,6.49e-06,5.5e-06,0.0,0.0
