year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.00265
1922,0.00985
1923,0.0205
1924,0.033299999999999996
1925,0.0474
1926,0.061399999999999996
1927,0.07429999999999999
1928,0.0849
1929,0.09209999999999999
1930,0.0947
1931,0.09259999999999999
1932,0.0868
1933,0.0782
1934,0.0678
1935,0.0564
1936,0.0451
1937,0.0347
1938,0.0261
1939,0.020300000000000002
1940,0.0182
1941,0.0185
1942,0.019600000000000003
1943,0.0212
1944,0.0233
1945,0.0259
1946,0.0288
1947,0.0319
1948,0.0352
1949,0.0385
1950,0.0419
1951,0.045399999999999996
1952,0.0493
1953,0.053700000000000005
1954,0.0585
1955,0.0637
1956,0.0694
1957,0.0755
1958,0.082
1959,0.089
1960,0.0963
1961,0.105
1962,0.115
1963,0.126
1964,0.139
1965,0.154
1966,0.169
1967,0.186
1968,0.203
1969,0.222
1970,0.242
1971,0.264
1972,0.292
1973,0.324
1974,0.359
1975,0.396
1976,0.434
1977,0.472
1978,0.51
1979,0.546
1980,0.58
1981,0.611
1982,0.641
1983,0.67
1984,0.7
1985,0.729
1986,0.76
1987,0.793
1988,0.827
1989,0.864
1990,0.811
1991,0.8
1992,0.912
1993,0.911
1994,0.694
1995,0.754
1996,0.796
1997,0.858
1998,0.767
1999,0.982
2000,1.45
2001,1.85
2002,2.23
2003,2.66
2004,3.09
2005,3.6
2006,3.81
2007,3.93
2008,4.1
2009,4.26
2010,4.18
2011,4.32
2012,4.59
2013,4.37
2014,4.4
2015,4.4
2016,4.98
2017,5.55
2018,6.26
2019,6.88
2020,7.51
2021,8.16
2022,8.79
2023,9.43
2024,10.1
