year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0014
1851,0.0014
1852,0.0014
1853,0.0014
1854,0.0014
1855,0.0014
1856,0.0014
1857,0.0014
1858,0.0014
1859,0.0014
1860,0.0014
1861,0.0014
1862,0.0014
1863,0.0014
1864,0.0014
1865,0.0014
1866,0.0014
1867,0.0014
1868,0.0014
1869,0.0014
1870,0.0014
1871,0.0014
1872,0.0014
1873,0.0014
1874,0.0014
1875,0.0014
1876,0.0014
1877,0.0014
1878,0.0014
1879,0.0014
1880,0.0014
1881,0.0014
1882,0.0014
1883,0.0014
1884,0.0014
1885,0.0014
1886,0.0014
1887,0.00141
1888,0.00141
1889,0.00141
1890,0.00141
1891,0.00165
1892,0.00231
1893,0.00331
1894,0.00457
1895,0.00601
1896,0.00754
1897,0.00908
1898,0.0105
1899,0.0119
1900,0.0129
1901,0.013800000000000002
1902,0.0146
1903,0.015300000000000001
1904,0.016
1905,0.0167
1906,0.0174
1907,0.0181
1908,0.0189
1909,0.0197
1910,0.0206
1911,0.0216
1912,0.022699999999999998
1913,0.0238
1914,0.025
1915,0.0263
1916,0.027600000000000003
1917,0.029
1918,0.0304
1919,0.032
1920,0.0335
1921,0.0399
1922,0.0545
1923,0.07590000000000001
1924,0.102
1925,0.133
1926,0.164
1927,0.197
1928,0.228
1929,0.256
1930,0.279
1931,0.299
1932,0.319
1933,0.338
1934,0.356
1935,0.375
1936,0.393
1937,0.411
1938,0.429
1939,0.447
1940,0.465
1941,0.484
1942,0.504
1943,0.524
1944,0.545
1945,0.567
1946,0.59
1947,0.615
1948,0.642
1949,0.67
1950,0.7
1951,0.733
1952,0.77
1953,0.809
1954,0.851
1955,0.895
1956,0.942
1957,0.99
1958,1.04
1959,1.09
1960,1.14
1961,1.2
1962,1.26
1963,1.33
1964,1.41
1965,1.48
1966,1.56
1967,1.63
1968,1.69
1969,1.75
1970,1.79
1971,1.83
1972,1.87
1973,1.91
1974,1.95
1975,1.99
1976,2.02
1977,2.05
1978,2.08
1979,2.1
1980,2.12
1981,2.13
1982,2.13
1983,2.13
1984,2.12
1985,2.11
1986,2.1
1987,2.1
1988,2.09
1989,2.09
1990,1.93
1991,1.96
1992,1.82
1993,1.56
1994,1.61
1995,1.23
1996,1.25
1997,1.26
1998,0.839
1999,0.914
2000,0.739
2001,0.34
2002,0.445
2003,0.499
2004,0.389
2005,0.324
2006,0.325
2007,0.556
2008,0.505
2009,0.26
2010,0.164
2011,0.111
2012,0.0471
2013,0.0348
2014,0.0282
2015,0.0242
2016,0.022600000000000002
2017,0.0209
2018,0.009970000000000001
2019,0.009970000000000001
2020,0.00574
2021,0.00331
2022,0.0
