year,IPC1,IPC2,IPC4,IPC5
1750,0.000275,0.0,0.000319,0.0
1751,0.000277,0.0,0.000322,8.55e-07
1752,0.000279,0.0,0.000325,1.71e-06
1753,0.00028100000000000005,0.0,0.00032700000000000003,2.56e-06
1754,0.000283,0.0,0.00033,3.42e-06
1755,0.00028599999999999996,0.0,0.000332,4.270000000000001e-06
1756,0.00028799999999999995,0.0,0.000335,5.13e-06
1757,0.00029,0.0,0.00033800000000000003,5.98e-06
1758,0.000292,0.0,0.00034,6.84e-06
1759,0.000294,0.0,0.00034300000000000004,7.69e-06
1760,0.000297,0.0,0.000345,8.550000000000001e-06
1761,0.000299,0.0,0.000348,9.4e-06
1762,0.000301,0.0,0.00035099999999999997,1.03e-05
1763,0.000304,0.0,0.000354,1.11e-05
1764,0.000306,0.0,0.000357,1.2e-05
1765,0.000308,0.0,0.00035999999999999997,1.2800000000000001e-05
1766,0.000311,0.0,0.00036199999999999996,1.3700000000000001e-05
1767,0.000313,0.0,0.000365,1.45e-05
1768,0.000315,0.0,0.000368,1.54e-05
1769,0.00031800000000000003,0.0,0.000371,1.62e-05
1770,0.00032,0.0,0.000374,1.7100000000000002e-05
1771,0.000323,0.0,0.000377,1.7899999999999998e-05
1772,0.000325,0.0,0.00038,1.88e-05
1773,0.000328,0.0,0.000383,1.9699999999999998e-05
1774,0.00033,0.0,0.000386,2.05e-05
1775,0.000333,0.0,0.000389,2.14e-05
1776,0.000335,0.0,0.00039200000000000004,2.22e-05
1777,0.00033800000000000003,0.0,0.000395,2.31e-05
1778,0.00034,0.0,0.000398,2.39e-05
1779,0.00034300000000000004,0.0,0.00040100000000000004,2.48e-05
1780,0.000345,0.0,0.000404,2.5600000000000002e-05
1781,0.000348,0.0,0.000408,2.65e-05
1782,0.00035099999999999997,0.0,0.00041099999999999996,2.7300000000000003e-05
1783,0.000354,0.0,0.000414,2.82e-05
1784,0.000356,0.0,0.00041799999999999997,2.91e-05
1785,0.000359,0.0,0.000421,2.99e-05
1786,0.00036199999999999996,0.0,0.000424,3.08e-05
1787,0.000365,0.0,0.000428,3.16e-05
1788,0.000367,0.0,0.000431,3.2500000000000004e-05
1789,0.00037,0.0,0.000434,3.33e-05
1790,0.000373,0.0,0.000438,3.4200000000000005e-05
1791,0.000376,0.0,0.000441,3.5000000000000004e-05
