year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.658,0.0,0.56,0.0,3.12
1751,0.659,0.0,0.561,0.000986,3.13
1752,0.66,0.0,0.562,0.00197,3.13
1753,0.662,0.0,0.563,0.00296,3.14
1754,0.663,0.0,0.564,0.00395,3.14
1755,0.664,0.0,0.565,0.0049299999999999995,3.15
1756,0.665,0.0,0.566,0.00592,3.16
1757,0.666,0.0,0.567,0.00691,3.16
1758,0.667,0.0,0.568,0.00789,3.17
1759,0.668,0.0,0.569,0.00888,3.17
1760,0.669,0.0,0.57,0.009859999999999999,3.18
1761,0.67,0.0,0.571,0.0109,3.19
1762,0.671,0.0,0.572,0.011800000000000001,3.19
1763,0.673,0.0,0.573,0.0128,3.2
1764,0.674,0.0,0.574,0.013800000000000002,3.2
1765,0.675,0.0,0.575,0.0148,3.21
1766,0.676,0.0,0.576,0.0158,3.21
1767,0.677,0.0,0.577,0.016800000000000002,3.22
1768,0.678,0.0,0.579,0.0178,3.23
1769,0.679,0.0,0.58,0.018699999999999998,3.23
1770,0.68,0.0,0.581,0.0197,3.24
1771,0.681,0.0,0.582,0.0207,3.24
1772,0.682,0.0,0.583,0.0217,3.25
1773,0.684,0.0,0.584,0.022699999999999998,3.26
1774,0.685,0.0,0.585,0.0237,3.26
1775,0.686,0.0,0.586,0.0247,3.27
1776,0.687,0.0,0.587,0.0256,3.27
1777,0.688,0.0,0.588,0.026600000000000002,3.28
1778,0.689,0.0,0.589,0.027600000000000003,3.29
1779,0.69,0.0,0.59,0.0286,3.29
1780,0.691,0.0,0.591,0.0296,3.3
1781,0.692,0.0,0.592,0.030600000000000002,3.3
1782,0.694,0.0,0.594,0.0316,3.31
1783,0.695,0.0,0.595,0.032600000000000004,3.32
1784,0.696,0.0,0.596,0.0335,3.32
1785,0.697,0.0,0.597,0.0345,3.33
1786,0.698,0.0,0.598,0.0355,3.33
1787,0.699,0.0,0.599,0.0365,3.34
1788,0.7,0.0,0.6,0.0375,3.35
1789,0.701,0.0,0.601,0.0385,3.35
1790,0.702,0.0,0.602,0.0395,3.36
1791,0.704,0.0,0.603,0.0404,3.37
1792,0.705,0.0,0.605,0.0414,3.37
1793,0.706,0.0,0.606,0.0424,3.38
1794,0.707,0.0,0.607,0.0434,3.38
1795,0.708,0.0,0.608,0.0444,3.39
1796,0.709,0.0,0.609,0.045399999999999996,3.4
1797,0.71,0.0,0.61,0.0464,3.4
1798,0.711,0.0,0.611,0.0474,3.41
1799,0.712,0.0,0.612,0.048299999999999996,3.42
1800,0.714,0.0,0.613,0.0493,3.42
1801,0.715,0.0,0.615,0.0503,3.43
1802,0.716,0.0,0.616,0.0513,3.43
1803,0.717,0.0,0.617,0.0523,3.44
1804,0.718,0.0,0.618,0.0533,3.45
1805,0.719,0.0,0.619,0.054299999999999994,3.45
1806,0.72,0.0,0.62,0.055200000000000006,3.46
1807,0.721,0.0,0.621,0.0562,3.47
1808,0.722,0.0,0.623,0.0572,3.47
