year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.000381,0.0,0.0029500000000000004,1.1300000000000002e-19,0.0432
1751,0.000383,0.0,0.00297,2.8800000000000004e-06,0.0435
1752,0.00038500000000000003,0.0,0.00298,5.77e-06,0.0437
1753,0.00038700000000000003,0.0,0.003,8.65e-06,0.0439
1754,0.000389,0.0,0.0030099999999999997,1.15e-05,0.0441
1755,0.000391,0.0,0.0030299999999999997,1.44e-05,0.0444
1756,0.000393,0.0,0.0030499999999999998,1.73e-05,0.0446
1757,0.000395,0.0,0.0030600000000000002,2.02e-05,0.0448
1758,0.000397,0.0,0.0030800000000000003,2.31e-05,0.045
1759,0.000399,0.0,0.00309,2.6e-05,0.0453
1760,0.00040100000000000004,0.0,0.00311,2.88e-05,0.0455
1761,0.00040300000000000004,0.0,0.00312,3.17e-05,0.045700000000000005
1762,0.00040500000000000003,0.0,0.00314,3.46e-05,0.046
1763,0.00040699999999999997,0.0,0.00316,3.75e-05,0.046200000000000005
1764,0.00041,0.0,0.00317,4.04e-05,0.0465
1765,0.000412,0.0,0.00319,4.3299999999999995e-05,0.046700000000000005
1766,0.000414,0.0,0.00321,4.61e-05,0.0469
1767,0.000416,0.0,0.00322,4.9000000000000005e-05,0.047200000000000006
1768,0.00041799999999999997,0.0,0.0032400000000000003,5.19e-05,0.0474
1769,0.00041999999999999996,0.0,0.00326,5.4800000000000004e-05,0.047700000000000006
1770,0.000422,0.0,0.00327,5.77e-05,0.0479
1771,0.000424,0.0,0.00329,6.06e-05,0.048100000000000004
1772,0.000426,0.0,0.00331,6.34e-05,0.0484
1773,0.000429,0.0,0.00332,6.63e-05,0.0487
1774,0.000431,0.0,0.0033399999999999997,6.92e-05,0.0489
1775,0.000433,0.0,0.0033599999999999997,7.209999999999999e-05,0.0492
1776,0.000435,0.0,0.0033799999999999998,7.5e-05,0.0494
1777,0.000437,0.0,0.0033900000000000002,7.79e-05,0.0497
1778,0.00044,0.0,0.0034100000000000003,8.07e-05,0.0499
1779,0.000442,0.0,0.0034300000000000003,8.36e-05,0.0502
1780,0.000444,0.0,0.00344,8.649999999999999e-05,0.0504
1781,0.000446,0.0,0.00346,8.939999999999999e-05,0.0507
1782,0.000449,0.0,0.00348,9.23e-05,0.0509
1783,0.000451,0.0,0.0035,9.520000000000001e-05,0.0512
1784,0.000453,0.0,0.00352,9.800000000000001e-05,0.0515
1785,0.000456,0.0,0.0035299999999999997,0.000101,0.0517
1786,0.000458,0.0,0.0035499999999999998,0.000104,0.052
1787,0.00046,0.0,0.00357,0.000107,0.0523
1788,0.000462,0.0,0.00359,0.00011,0.0525
1789,0.000465,0.0,0.00361,0.000112,0.0528
1790,0.000467,0.0,0.00363,0.000115,0.0531
1791,0.00046899999999999996,0.0,0.00364,0.000118,0.0533
1792,0.000472,0.0,0.00366,0.000121,0.0536
1793,0.000474,0.0,0.00368,0.000124,0.053899999999999997
1794,0.000477,0.0,0.0037,0.000127,0.054200000000000005
1795,0.000479,0.0,0.00372,0.00013000000000000002,0.0545
1796,0.000482,0.0,0.0037400000000000003,0.000133,0.054700000000000006
1797,0.000484,0.0,0.00376,0.000136,0.055
1798,0.000486,0.0,0.00378,0.00013800000000000002,0.055299999999999995
1799,0.000489,0.0,0.0038,0.00014099999999999998,0.055600000000000004
1800,0.000491,0.0,0.00382,0.00014399999999999998,0.0559
1801,0.000494,0.0,0.0038399999999999997,0.000147,0.0562
1802,0.000496,0.0,0.0038599999999999997,0.00015,0.0565
1803,0.000499,0.0,0.0038799999999999998,0.000153,0.0567
1804,0.000501,0.0,0.0039,0.000156,0.057
1805,0.000504,0.0,0.00392,0.00015900000000000002,0.0573
1806,0.000506,0.0,0.00394,0.000161,0.0576
1807,0.000509,0.0,0.00396,0.000164,0.0579
1808,0.0005110000000000001,0.0,0.00398,0.00016700000000000002,0.0582
1809,0.000514,0.0,0.004,0.00017,0.0585
1810,0.000517,0.0,0.004019999999999999,0.00017299999999999998,0.0588
1811,0.000519,0.0,0.00404,0.000176,0.0591
1812,0.000522,0.0,0.004059999999999999,0.000179,0.0595
1813,0.0005250000000000001,0.0,0.00408,0.000182,0.0598
1814,0.000528,0.0,0.00411,0.000185,0.0601
1815,0.000531,0.0,0.00413,0.000187,0.060399999999999995
1816,0.000533,0.0,0.00415,0.00019,0.0608
1817,0.000536,0.0,0.00417,0.000193,0.0611
1818,0.000539,0.0,0.004200000000000001,0.00019600000000000002,0.061399999999999996
1819,0.0005420000000000001,0.0,0.00422,0.000199,0.061700000000000005
1820,0.000545,0.0,0.00424,0.000202,0.0621
1821,0.0005480000000000001,0.0,0.00426,0.000205,0.0624
1822,0.00055,0.0,0.00429,0.000208,0.0628
1823,0.000553,0.0,0.00431,0.00020999999999999998,0.0631
1824,0.0005560000000000001,0.0,0.00433,0.000213,0.0634
1825,0.000559,0.0,0.00436,0.000216,0.0638
1826,0.0005620000000000001,0.0,0.00438,0.000219,0.06409999999999999
1827,0.000565,0.0,0.0044,0.000222,0.0645
1828,0.0005679999999999999,0.0,0.00443,0.000225,0.0648
1829,0.000571,0.0,0.00445,0.000228,0.06520000000000001
1830,0.000574,0.0,0.0044800000000000005,0.000231,0.0655
1831,0.0005769999999999999,0.0,0.0045,0.00023400000000000002,0.0659
1832,0.00058,0.0,0.00453,0.000236,0.06620000000000001
1833,0.000583,0.0,0.00455,0.00023899999999999998,0.06659999999999999
1834,0.0005859999999999999,0.0,0.00458,0.000242,0.067
1835,0.0005899999999999999,0.0,0.0046,0.000245,0.0673
1836,0.000593,0.0,0.00462,0.000248,0.0677
1837,0.000596,0.0,0.0046500000000000005,0.000251,0.0681
