year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.144,0.0,0.0305,3.52e-17,0.446
1751,0.144,0.0,0.030600000000000002,0.00636,0.448
1752,0.145,0.0,0.030699999999999998,0.0127,0.449
1753,0.145,0.0,0.0308,0.019100000000000002,0.451
1754,0.145,0.0,0.031,0.0254,0.453
1755,0.146,0.0,0.031100000000000003,0.0318,0.454
1756,0.146,0.0,0.0312,0.038200000000000005,0.456
1757,0.147,0.0,0.0313,0.0445,0.457
1758,0.147,0.0,0.0314,0.0509,0.459
1759,0.148,0.0,0.0315,0.0572,0.461
1760,0.148,0.0,0.0316,0.0636,0.462
1761,0.148,0.0,0.0318,0.07,0.464
1762,0.149,0.0,0.0319,0.07629999999999999,0.466
1763,0.149,0.0,0.032,0.08270000000000001,0.468
1764,0.15,0.0,0.032100000000000004,0.089,0.47
1765,0.15,0.0,0.032299999999999995,0.09540000000000001,0.472
1766,0.151,0.0,0.0324,0.102,0.473
1767,0.151,0.0,0.0325,0.108,0.475
1768,0.152,0.0,0.032600000000000004,0.114,0.477
1769,0.152,0.0,0.032799999999999996,0.121,0.479
1770,0.153,0.0,0.0329,0.127,0.481
1771,0.153,0.0,0.033,0.134,0.483
1772,0.154,0.0,0.0332,0.14,0.485
1773,0.154,0.0,0.033299999999999996,0.146,0.487
1774,0.155,0.0,0.0334,0.153,0.489
1775,0.155,0.0,0.033600000000000005,0.159,0.491
1776,0.156,0.0,0.0337,0.165,0.493
1777,0.156,0.0,0.0338,0.172,0.495
1778,0.157,0.0,0.034,0.178,0.497
1779,0.157,0.0,0.0341,0.184,0.499
1780,0.158,0.0,0.0343,0.191,0.501
1781,0.158,0.0,0.0344,0.197,0.503
1782,0.159,0.0,0.0346,0.204,0.505
1783,0.159,0.0,0.0347,0.21,0.507
1784,0.16,0.0,0.0349,0.216,0.51
1785,0.16,0.0,0.035,0.223,0.512
1786,0.161,0.0,0.0352,0.229,0.514
1787,0.161,0.0,0.0353,0.235,0.516
1788,0.162,0.0,0.0355,0.242,0.519
1789,0.162,0.0,0.0356,0.248,0.521
1790,0.163,0.0,0.0358,0.254,0.523
1791,0.164,0.0,0.036,0.261,0.525
1792,0.164,0.0,0.0361,0.267,0.528
1793,0.165,0.0,0.0363,0.273,0.53
1794,0.165,0.0,0.0365,0.28,0.533
1795,0.166,0.0,0.0366,0.286,0.535
1796,0.167,0.0,0.0368,0.293,0.538
1797,0.167,0.0,0.037,0.299,0.54
