year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,7.27e-10
1922,2.7e-09
1923,5.6099999999999994e-09
1924,9.140000000000001e-09
1925,1.2999999999999999e-08
1926,1.6799999999999998e-08
1927,2.04e-08
1928,2.33e-08
1929,2.52e-08
1930,2.5999999999999998e-08
1931,2.54e-08
1932,2.3799999999999998e-08
1933,2.14e-08
1934,1.86e-08
1935,1.55e-08
1936,1.24e-08
1937,9.52e-09
1938,7.17e-09
1939,5.57e-09
1940,4.9899999999999995e-09
1941,5.0900000000000004e-09
1942,5.37e-09
1943,5.82e-09
1944,6.399999999999999e-09
1945,7.1e-09
1946,7.890000000000001e-09
1947,8.749999999999999e-09
1948,9.65e-09
1949,1.06e-08
1950,1.15e-08
1951,1.24e-08
1952,1.35e-08
1953,1.47e-08
1954,1.5999999999999998e-08
1955,1.7499999999999998e-08
1956,1.9e-08
1957,2.0699999999999997e-08
1958,2.2500000000000003e-08
1959,2.44e-08
1960,2.64e-08
1961,2.87e-08
1962,3.1399999999999997e-08
1963,3.45e-08
1964,3.79e-08
1965,4.1699999999999996e-08
1966,4.58e-08
1967,5.02e-08
1968,5.49e-08
1969,5.979999999999999e-08
1970,6.5e-08
1971,7.11e-08
1972,7.86e-08
1973,8.71e-08
1974,9.65e-08
1975,1.07e-07
1976,1.17e-07
1977,1.2699999999999999e-07
1978,1.37e-07
1979,1.47e-07
1980,1.56e-07
1981,1.65e-07
1982,1.73e-07
1983,1.8100000000000002e-07
1984,1.89e-07
1985,1.97e-07
1986,2.06e-07
1987,2.14e-07
1988,2.24e-07
1989,2.34e-07
1990,2.33e-07
1991,5.5e-07
1992,1.15e-06
1993,5.05e-06
1994,9.169999999999999e-06
1995,1.6899999999999997e-05
1996,2.97e-05
1997,3.92e-05
1998,4.72e-05
1999,6.07e-05
2000,7.52e-05
2001,0.00011700000000000001
2002,0.000165
2003,0.00023
2004,0.000313
2005,0.000412
2006,0.000462
2007,0.00053
2008,0.000598
2009,0.00066
2010,0.000722
2011,0.0007289999999999999
2012,0.0007830000000000001
2013,0.000837
2014,0.000891
2015,0.000945
2016,0.000999
2017,0.0010500000000000002
2018,0.00111
2019,0.00116
2020,0.00121
2021,0.00127
