year,IPC1,IPC2,IPC4,IPCMAG
1750,1.55,0.0,0.211,3.55
1751,1.55,0.0,0.212,3.56
1752,1.55,0.0,0.213,3.57
1753,1.55,0.0,0.214,3.59
1754,1.56,0.0,0.215,3.6
1755,1.56,0.0,0.216,3.61
1756,1.56,0.0,0.217,3.62
1757,1.56,0.0,0.218,3.63
1758,1.56,0.0,0.219,3.65
1759,1.57,0.0,0.22,3.66
1760,1.57,0.0,0.221,3.67
1761,1.57,0.0,0.222,3.68
1762,1.57,0.0,0.223,3.69
1763,1.57,0.0,0.224,3.7
1764,1.58,0.0,0.225,3.72
1765,1.58,0.0,0.226,3.73
1766,1.58,0.0,0.227,3.74
1767,1.58,0.0,0.228,3.75
1768,1.58,0.0,0.229,3.76
1769,1.59,0.0,0.23,3.78
1770,1.59,0.0,0.231,3.79
1771,1.59,0.0,0.232,3.81
1772,1.59,0.0,0.233,3.83
1773,1.6,0.0,0.234,3.85
1774,1.6,0.0,0.235,3.87
1775,1.6,0.0,0.236,3.89
1776,1.61,0.0,0.237,3.9
1777,1.61,0.0,0.238,3.92
1778,1.61,0.0,0.239,3.94
1779,1.62,0.0,0.24,3.96
1780,1.62,0.0,0.241,3.98
1781,1.63,0.0,0.242,4.01
1782,1.63,0.0,0.243,4.04
1783,1.63,0.0,0.245,4.06
1784,1.64,0.0,0.246,4.09
1785,1.64,0.0,0.247,4.11
1786,1.65,0.0,0.248,4.14
1787,1.65,0.0,0.249,4.17
1788,1.66,0.0,0.25,4.19
1789,1.66,0.0,0.251,4.22
1790,1.67,0.0,0.252,4.24
1791,1.67,0.0,0.253,4.26
1792,1.67,3.73e-07,0.254,4.28
1793,1.68,3.82e-07,0.256,4.3
1794,1.68,3.53e-07,0.257,4.32
1795,1.68,3.5599999999999996e-07,0.258,4.34
1796,1.68,4.26e-07,0.259,4.36
1797,1.69,4.3800000000000003e-07,0.26,4.38
1798,1.69,4.58e-07,0.261,4.4
1799,1.69,4.99e-07,0.262,4.42
1800,1.7,5.48e-06,0.264,4.44
1801,1.7,5.7000000000000005e-06,0.265,4.47
1802,1.74,1.87e-05,0.266,4.5
1803,1.71,5.92e-06,0.267,4.53
1804,1.74,9.509999999999999e-06,0.269,4.56
1805,1.73,7.63e-06,0.27,4.6
1806,1.73,6.94e-06,0.271,4.63
1807,1.74,6.67e-06,0.273,4.66
1808,1.74,6.6899999999999995e-06,0.274,4.69
1809,1.75,6.37e-06,0.275,4.72
1810,1.78,1.07e-05,0.276,4.76
1811,1.78,1.08e-05,0.278,4.79
1812,1.79,9.45e-06,0.279,4.83
1813,1.8,8.31e-06,0.281,4.87
1814,1.8,9.81e-06,0.282,4.91
1815,1.81,1.1299999999999999e-05,0.284,4.95
1816,1.83,1.3700000000000001e-05,0.285,4.99
1817,1.84,1.55e-05,0.286,5.02
1818,1.84,1.74e-05,0.288,5.06
1819,1.85,1.55e-05,0.289,5.1
1820,1.86,1.6e-05,0.291,5.14
1821,1.87,1.72e-05,0.293,5.18
1822,1.89,1.85e-05,0.295,5.22
1823,1.9,2.2499999999999998e-05,0.298,5.27
1824,1.91,2.31e-05,0.3,5.31
1825,1.93,2.52e-05,0.303,5.35
1826,1.94,2.41e-05,0.305,5.39
1827,1.98,2.81e-05,0.307,5.44
1828,1.99,2.7400000000000002e-05,0.31,5.48
1829,2.0,2.48e-05,0.312,5.52
1830,2.03,3.65e-05,0.315,5.56
1831,2.03,3.03e-05,0.317,5.6
1832,2.04,3.36e-05,0.319,5.64
1833,2.06,3.51e-05,0.322,5.68
1834,2.09,5.01e-05,0.324,5.71
1835,2.1,4.0300000000000004e-05,0.326,5.75
1836,2.13,4.74e-05,0.329,5.79
1837,2.15,5.16e-05,0.331,5.83
1838,2.17,5.37e-05,0.333,5.87
1839,2.17,7.4e-05,0.336,5.9
1840,2.2,7.89e-05,0.338,5.94
1841,2.22,8.81e-05,0.34,5.95
1842,2.23,0.00010899999999999999,0.342,5.95
1843,2.23,0.000101,0.345,5.96
1844,2.25,0.000123,0.347,5.96
1845,2.28,0.000133,0.349,5.96
1846,2.3,0.000194,0.351,5.97
1847,2.33,0.00022,0.354,5.97
1848,2.28,0.000229,0.356,5.98
1849,2.29,0.000246,0.358,5.98
1850,2.32,0.000263,0.361,5.99
1851,2.33,0.000279,0.363,6.0
1852,2.37,0.000309,0.365,6.01
1853,2.42,0.000339,0.368,6.02
1854,2.47,0.000426,0.37,6.04
1855,2.53,0.000412,0.373,6.05
1856,2.56,0.000498,0.375,6.06
1857,2.58,0.0005520000000000001,0.378,6.07
1858,2.59,0.0005380000000000001,0.38,6.08
1859,2.59,0.00065,0.383,6.1
1860,2.64,0.000723,0.385,6.11
1861,2.7,0.000934,0.387,6.13
1862,2.75,0.00111,0.39,6.15
1863,2.77,0.00111,0.392,6.17
1864,2.83,0.00124,0.395,6.2
1865,2.89,0.00125,0.397,6.22
1866,2.94,0.00133,0.399,6.24
1867,2.97,0.00136,0.402,6.26
1868,3.0,0.00152,0.404,6.28
1869,3.04,0.0015400000000000001,0.407,6.3
1870,2.98,0.00184,0.409,6.33
1871,3.0,0.00189,0.413,6.37
1872,3.14,0.00266,0.416,6.4
1873,3.22,0.00289,0.42,6.44
1874,3.12,0.00281,0.424,6.48
1875,3.23,0.00366,0.427,6.52
1876,3.27,0.00414,0.431,6.56
1877,3.25,0.0037099999999999998,0.435,6.6
1878,3.28,0.00359,0.438,6.64
1879,3.34,0.0038599999999999997,0.442,6.68
1880,3.48,0.00449,0.446,6.72
1881,3.53,0.0047,0.449,6.75
1882,3.61,0.00515,0.453,6.78
1883,3.7,0.00547,0.457,6.82
1884,3.67,0.0058,0.461,6.85
1885,3.65,0.006030000000000001,0.465,6.88
1886,3.65,0.00617,0.468,6.92
1887,3.72,0.0065899999999999995,0.472,6.95
1888,3.82,0.00717,0.476,6.98
1889,3.9,0.007809999999999999,0.48,7.02
1890,4.04,0.00826,0.484,7.05
1891,4.08,0.00843,0.487,7.09
1892,4.06,0.00836,0.491,7.13
1893,4.05,0.00819,0.495,7.17
1894,4.15,0.009210000000000001,0.499,7.21
1895,4.19,0.00915,0.503,7.25
1896,4.3,0.009460000000000001,0.506,7.29
1897,4.42,0.01,0.51,7.34
1898,4.52,0.0107,0.514,7.38
1899,4.64,0.011800000000000001,0.518,7.42
1900,4.81,0.0123,0.522,7.46
1901,4.77,0.0121,0.526,7.51
1902,4.67,0.0128,0.531,7.56
1903,4.88,0.0134,0.536,7.62
1904,4.88,0.014,0.541,7.67
1905,4.99,0.0144,0.546,7.72
1906,5.08,0.0159,0.55,7.78
1907,5.44,0.0176,0.555,7.83
1908,5.48,0.018699999999999998,0.56,7.88
1909,5.52,0.019100000000000002,0.565,7.94
1910,5.52,0.019100000000000002,0.57,7.99
1911,5.65,0.0189,0.571,7.99
1912,5.84,0.020399999999999998,0.573,7.99
1913,6.12,0.0219,0.575,7.99
1914,5.27,0.019899999999999998,0.576,8.0
1915,4.94,0.0185,0.578,8.0
1916,5.14,0.019,0.58,8.0
1917,5.27,0.013,0.581,8.0
1918,4.95,0.013,0.583,8.0
1919,4.41,0.0126,0.585,8.0
1920,5.12,0.0143,0.586,8.01
1921,5.04,0.0134,0.593,8.05
1922,5.26,0.0162,0.599,8.09
1923,5.11,0.0169,0.606,8.13
1924,5.75,0.019600000000000003,0.612,8.17
1925,5.74,0.0193,0.619,8.22
1926,5.72,0.019899999999999998,0.625,8.26
1927,6.06,0.0237,0.632,8.3
1928,6.09,0.023,0.639,8.34
1929,6.53,0.0257,0.645,8.38
1930,6.26,0.0247,0.652,8.43
1931,5.8,0.023399999999999997,0.656,8.46
1932,5.29,0.0212,0.66,8.49
1933,5.35,0.0221,0.664,8.53
1934,5.51,0.0247,0.668,8.56
1935,5.51,0.026199999999999998,0.673,8.6
1936,5.65,0.0245,0.677,8.62
1937,6.07,0.0285,0.681,8.65
1938,5.99,0.0272,0.685,8.67
1939,6.04,0.0281,0.689,8.7
1940,5.79,0.027,0.693,8.72
1941,5.66,0.0254,0.811,8.74
1942,5.77,0.0249,0.93,8.75
1943,5.84,0.0213,1.05,8.76
1944,4.93,0.0182,1.17,8.78
1945,3.32,0.0123,1.3,8.79
1946,3.75,0.020399999999999998,1.44,8.8
1947,4.77,0.027,1.58,8.82
1948,5.03,0.03,1.72,8.83
1949,5.52,0.0315,1.86,8.85
1950,5.35,0.031100000000000003,2.01,8.86
1951,5.82,0.0342,2.17,8.93
1952,5.92,0.0355,2.33,8.99
1953,5.87,0.0356,2.51,9.06
1954,6.07,0.037700000000000004,2.68,9.13
1955,6.37,0.040600000000000004,2.86,9.2
1956,6.76,0.0443,3.04,9.27
1957,6.93,0.046,3.23,9.34
1958,6.73,0.0461,3.43,9.41
1959,6.64,0.047299999999999995,3.63,9.48
1960,6.84,0.0506,3.84,9.56
1961,6.97,0.0538,4.05,9.69
1962,7.25,0.0584,4.27,9.85
1963,7.62,0.064,4.5,9.71
1964,7.65,0.06720000000000001,4.73,9.6
1965,7.54,0.0694,4.97,9.71
1966,7.41,0.0706,5.2,9.86
1967,7.44,0.0718,5.45,10.1
1968,7.64,0.0716,5.69,10.1
1969,8.02,0.0728,5.94,10.1
1970,8.34,0.0716,5.77,10.0
1971,8.12,0.0691,5.98,10.0
1972,7.91,0.07390000000000001,6.05,10.1
1973,7.79,0.0762,6.12,10.4
1974,7.75,0.0755,6.18,10.7
1975,7.8,0.0675,6.15,10.7
1976,7.87,0.0717,6.24,10.6
1977,7.85,0.0686,6.28,10.7
1978,7.86,0.0683,6.31,10.8
1979,7.94,0.07479999999999999,6.37,10.9
1980,7.76,0.067,6.4,10.9
1981,7.57,0.0645,6.39,10.9
1982,7.63,0.0594,6.36,11.0
1983,7.44,0.0574,6.4,10.8
1984,7.31,0.060899999999999996,6.43,11.0
1985,7.31,0.0587,6.44,11.0
1986,7.2,0.0582,6.44,10.8
1987,7.04,0.0595,6.46,10.6
1988,6.88,0.0611,6.51,10.5
1989,7.02,0.0611,6.49,10.4
1990,6.34,0.062200000000000005,6.5,10.4
1991,5.91,0.0589,6.62,9.96
1992,5.66,0.0587,6.69,9.58
1993,5.63,0.0601,6.7,9.33
1994,5.42,0.0644,6.66,9.22
1995,5.38,0.06459999999999999,6.64,9.19
1996,5.3,0.0606,6.6,9.2
1997,5.37,0.0636,6.5,9.1
1998,5.06,0.0636,6.38,9.05
1999,4.97,0.06570000000000001,6.27,8.99
2000,4.34,0.0684,6.23,8.94
2001,4.26,0.067,6.14,8.88
2002,4.16,0.0679,6.01,8.74
2003,4.18,0.0711,5.92,8.7
2004,3.91,0.0752,5.77,8.55
2005,3.87,0.07490000000000001,5.6,8.49
2006,3.72,0.0731,5.49,8.45
2007,3.59,0.07429999999999999,5.36,8.51
2008,3.6,0.06720000000000001,5.22,8.41
2009,3.41,0.0573,5.15,8.37
2010,3.43,0.0631,5.03,8.23
2011,3.32,0.0616,4.9,8.18
2012,3.36,0.0586,4.78,8.15
2013,3.27,0.0575,4.66,8.15
2014,3.11,0.060200000000000004,4.51,8.22
2015,3.12,0.0593,4.43,8.31
2016,3.05,0.0585,4.32,8.31
2017,3.05,0.0605,4.27,8.32
2018,2.93,0.0579,4.21,8.28
2019,2.74,0.0573,4.17,8.21
