year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.061200000000000004
1922,0.227
1923,0.472
1924,0.769
1925,1.09
1926,1.42
1927,1.71
1928,1.96
1929,2.12
1930,2.18
1931,2.14
1932,2.0
1933,1.8
1934,1.56
1935,1.3
1936,1.04
1937,0.801
1938,0.603
1939,0.469
1940,0.419
1941,0.428
1942,0.452
1943,0.489
1944,0.538
1945,0.597
1946,0.664
1947,0.736
1948,0.811
1949,0.889
1950,0.966
1951,1.05
1952,1.14
1953,1.24
1954,1.35
1955,1.47
1956,1.6
1957,1.74
1958,1.89
1959,2.05
1960,2.22
1961,2.41
1962,2.64
1963,2.9
1964,3.19
1965,3.5
1966,3.85
1967,4.22
1968,4.61
1969,5.03
1970,5.83
1971,6.23
1972,6.43
1973,7.47
1974,8.27
1975,7.34
1976,8.76
1977,9.65
1978,10.5
1979,10.9
1980,11.5
1981,11.7
1982,10.9
1983,12.5
1984,13.1
1985,13.0
1986,13.7
1987,14.2
1988,16.3
1989,17.3
1990,14.4
1991,15.0
1992,15.6
1993,16.4
1994,17.3
1995,18.6
1996,19.5
1997,21.7
1998,18.1
1999,9.77
2000,7.8
2001,8.47
2002,8.78
2003,9.57
2004,8.39
2005,9.15
2006,10.0
2007,10.4
2008,10.8
2009,11.3
2010,11.9
2011,12.5
2012,13.1
2013,13.5
2014,13.7
2015,13.7
2016,13.7
2017,13.6
2018,13.2
2019,12.6
