year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,11.3,0.154,0.436,4.34e-17,6.01
1751,20.8,0.154,0.439,0.0148,6.04
1752,20.8,0.154,0.441,0.0295,6.08
1753,20.8,0.154,0.444,0.0443,6.11
1754,20.8,0.154,0.447,0.059,6.15
1755,20.9,0.154,0.449,0.07379999999999999,6.18
1756,21.6,0.164,0.452,0.0886,6.22
1757,21.7,0.164,0.454,0.103,6.25
1758,21.7,0.164,0.457,0.118,6.29
1759,21.7,0.165,0.459,0.133,6.32
1760,21.7,0.165,0.462,0.148,6.36
1761,22.9,0.18,0.465,0.162,6.39
1762,22.9,0.18,0.467,0.177,6.43
1763,22.9,0.18,0.47,0.192,6.47
1764,22.9,0.18,0.473,0.207,6.5
1765,23.0,0.18,0.475,0.221,6.54
1766,24.5,0.201,0.478,0.236,6.57
1767,24.5,0.201,0.481,0.251,6.61
1768,24.5,0.202,0.483,0.266,6.65
1769,24.5,0.202,0.486,0.28,6.68
1770,24.6,0.202,0.488,0.295,6.72
1771,26.2,0.224,0.491,0.31,6.75
1772,26.2,0.224,0.494,0.325,6.79
1773,26.2,0.224,0.497,0.34,6.83
1774,26.2,0.224,0.499,0.354,6.86
1775,26.2,0.224,0.502,0.369,6.9
1776,27.9,0.247,0.505,0.384,6.94
1777,27.9,0.247,0.508,0.399,6.98
1778,27.9,0.247,0.51,0.413,7.01
1779,28.0,0.247,0.513,0.428,7.05
1780,28.0,0.247,0.516,0.443,7.09
1781,30.1,0.277,0.519,0.458,7.12
1782,30.1,0.277,0.521,0.472,7.16
1783,30.1,0.277,0.524,0.487,7.2
1784,30.2,0.277,0.527,0.502,7.24
1785,30.2,0.277,0.53,0.517,7.28
1786,32.9,0.315,0.533,0.531,7.31
1787,32.9,0.315,0.535,0.546,7.35
1788,32.9,0.315,0.538,0.561,7.39
1789,32.9,0.315,0.541,0.576,7.43
1790,33.0,0.315,0.544,0.59,7.47
1791,35.6,0.352,0.547,0.605,7.51
1792,35.6,0.352,0.55,0.62,7.54
1793,35.7,0.352,0.553,0.635,7.58
1794,35.7,0.352,0.556,0.65,7.62
1795,35.7,0.352,0.559,0.664,7.66
1796,36.8,0.368,0.561,0.679,7.7
1797,38.2,0.387,0.564,0.694,7.74
1798,39.3,0.403,0.567,0.709,7.78
1799,40.9,0.424,0.57,0.723,7.82
1800,41.9,0.437,0.573,0.738,7.86
1801,41.9,0.439,0.574,0.753,7.87
1802,42.0,0.441,0.574,0.768,7.87
1803,45.9,0.496,0.575,0.782,7.88
1804,46.1,0.498,0.576,0.797,7.88
1805,47.4,0.517,0.576,0.812,7.89
1806,49.4,0.546,0.577,0.827,7.9
1807,49.4,0.546,0.577,0.841,7.9
1808,49.4,0.546,0.578,0.856,7.91
1809,49.4,0.547,0.579,0.871,7.92
1810,49.3,0.547,0.579,0.886,7.92
1811,52.2,0.584,0.593,0.9,8.12
1812,54.1,0.607,0.607,0.915,8.31
1813,54.8,0.614,0.621,0.93,8.51
1814,55.8,0.626,0.634,0.945,8.7
1815,57.0,0.639,0.648,0.96,8.9
1816,60.2,0.681,0.662,0.974,9.09
1817,61.0,0.689,0.676,0.989,9.29
1818,61.3,0.69,0.69,1.0,9.48
1819,61.9,0.695,0.704,1.02,9.68
1820,62.3,0.699,0.717,1.03,9.87
1821,62.8,0.704,0.727,1.05,10.0
1822,64.9,0.731,0.737,1.06,10.2
1823,67.8,0.77,0.747,1.08,10.3
1824,70.5,0.806,0.757,1.09,10.4
1825,71.2,0.815,0.766,1.11,10.6
1826,72.0,0.824,0.776,1.12,10.7
1827,74.6,0.858,0.786,1.14,10.8
1828,75.1,0.864,0.796,1.15,11.0
1829,76.1,0.876,0.806,1.17,11.1
1830,93.4,1.11,0.815,1.18,11.3
1831,91.1,1.08,0.831,1.2,11.5
1832,91.1,1.08,0.847,1.21,11.7
1833,91.2,1.08,0.862,1.23,11.9
1834,91.4,1.08,0.878,1.24,12.1
1835,91.3,1.07,0.893,1.25,12.3
1836,105.0,1.26,0.909,1.27,12.6
1837,102.0,1.21,0.924,1.28,12.8
1838,104.0,1.25,0.94,1.3,13.0
1839,107.0,1.28,0.955,1.31,13.2
1840,111.0,1.33,0.971,1.33,13.4
1841,112.0,1.34,0.975,1.34,13.5
1842,116.0,1.4,0.98,1.36,13.6
