year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.47e-05,7.37e-21,0.000524
1751,0.0,0.0,3.48e-05,2.52e-06,0.000526
1752,0.0,0.0,3.5000000000000004e-05,5.03e-06,0.000528
1753,0.0,0.0,3.51e-05,7.5500000000000006e-06,0.00053
1754,0.0,0.0,3.52e-05,1.01e-05,0.000532
1755,0.0,0.0,3.54e-05,1.26e-05,0.0005340000000000001
1756,0.0,0.0,3.5499999999999996e-05,1.5100000000000001e-05,0.000535
1757,0.0,0.0,3.56e-05,1.76e-05,0.000537
1758,0.0,0.0,3.57e-05,2.01e-05,0.000539
1759,0.0,0.0,3.59e-05,2.2599999999999997e-05,0.000541
1760,0.0,0.0,3.5999999999999994e-05,2.52e-05,0.0005430000000000001
1761,0.0,0.0,3.61e-05,2.77e-05,0.000545
1762,0.0,0.0,3.6200000000000006e-05,3.0200000000000002e-05,0.0005470000000000001
1763,0.0,0.0,3.6400000000000004e-05,3.27e-05,0.000549
1764,0.0,0.0,3.65e-05,3.52e-05,0.0005510000000000001
1765,0.0,0.0,3.66e-05,3.7699999999999995e-05,0.000553
1766,0.0,0.0,3.68e-05,4.0300000000000004e-05,0.000555
1767,0.0,0.0,3.69e-05,4.28e-05,0.0005570000000000001
1768,0.0,0.0,3.7e-05,4.53e-05,0.000559
1769,0.0,0.0,3.71e-05,4.78e-05,0.0005610000000000001
1770,0.0,0.0,3.73e-05,5.0299999999999996e-05,0.0005620000000000001
1771,0.0,0.0,3.74e-05,5.28e-05,0.0005639999999999999
1772,0.0,0.0,3.75e-05,5.54e-05,0.000566
1773,0.0,0.0,3.7699999999999995e-05,5.79e-05,0.0005679999999999999
1774,0.0,0.0,3.78e-05,6.0400000000000004e-05,0.00057
1775,0.0,0.0,3.7900000000000006e-05,6.29e-05,0.0005719999999999999
1776,0.0,0.0,3.8e-05,6.54e-05,0.000574
1777,0.0,0.0,3.82e-05,6.79e-05,0.0005759999999999999
1778,0.0,0.0,3.83e-05,7.049999999999999e-05,0.000578
1779,0.0,0.0,3.84e-05,7.3e-05,0.00058
1780,0.0,0.0,3.85e-05,7.549999999999999e-05,0.0005819999999999999
1781,0.0,0.0,3.87e-05,7.8e-05,0.000584
1782,0.0,0.0,3.88e-05,8.05e-05,0.0005859999999999999
1783,0.0,0.0,3.89e-05,8.3e-05,0.000588
