year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,3.43,0.0,0.799,2.17e-17,6.43
1751,3.44,0.0,0.802,0.0072699999999999996,6.45
1752,3.44,0.0,0.805,0.0145,6.47
1753,3.45,0.0,0.808,0.0218,6.49
1754,3.45,0.0,0.81,0.0291,6.52
1755,3.46,0.0,0.813,0.0363,6.54
1756,3.46,0.0,0.816,0.0436,6.56
1757,3.47,0.0,0.819,0.0509,6.58
1758,3.47,0.0,0.821,0.0582,6.61
1759,3.47,0.0,0.824,0.0654,6.63
1760,3.48,0.0,0.827,0.0727,6.65
1761,3.48,0.0,0.83,0.08,6.67
1762,3.49,0.0,0.833,0.0872,6.7
1763,3.49,0.0,0.835,0.0945,6.72
1764,3.5,0.0,0.838,0.102,6.74
1765,3.5,0.0,0.841,0.109,6.76
1766,3.51,0.0,0.844,0.116,6.79
1767,3.51,0.0,0.847,0.124,6.81
1768,3.51,0.0,0.85,0.131,6.83
1769,3.52,0.0,0.853,0.138,6.86
1770,3.52,0.0,0.855,0.145,6.88
1771,3.53,0.0,0.858,0.153,6.9
1772,3.53,0.0,0.861,0.16,6.93
1773,3.54,0.0,0.864,0.167,6.95
1774,3.54,0.0,0.867,0.174,6.97
1775,3.55,0.0,0.87,0.182,7.0
1776,3.55,0.0,0.873,0.189,7.02
1777,3.55,0.0,0.876,0.196,7.05
1778,3.56,0.0,0.879,0.204,7.07
1779,3.56,0.0,0.882,0.211,7.09
1780,3.57,0.0,0.885,0.218,7.12
1781,3.57,0.0,0.888,0.225,7.14
1782,3.58,0.0,0.891,0.233,7.17
1783,3.58,0.0,0.894,0.24,7.19
1784,3.58,0.0,0.897,0.247,7.21
1785,3.59,0.0,0.9,0.254,7.24
1786,3.59,0.0,0.903,0.262,7.26
1787,3.6,0.0,0.906,0.269,7.29
1788,3.6,0.0,0.909,0.276,7.31
1789,3.61,0.0,0.912,0.284,7.34
1790,3.61,0.0,0.915,0.291,7.36
1791,3.61,0.0,0.919,0.298,7.39
1792,3.62,0.0,0.922,0.305,7.41
1793,3.62,0.0,0.925,0.313,7.44
1794,3.63,0.0,0.928,0.32,7.46
1795,3.63,0.0,0.931,0.327,7.49
1796,3.64,0.0,0.934,0.334,7.51
1797,3.64,0.0,0.938,0.342,7.54
1798,3.64,0.0,0.941,0.349,7.56
1799,3.65,0.0,0.944,0.356,7.59
1800,3.65,0.0,0.947,0.363,7.62
1801,3.66,0.0,0.95,0.371,7.64
1802,3.66,0.0,0.954,0.378,7.67
1803,3.66,0.0,0.957,0.385,7.69
1804,3.67,0.0,0.96,0.393,7.72
1805,3.67,0.0,0.963,0.4,7.75
1806,3.68,0.0,0.967,0.407,7.77
1807,3.68,0.0,0.97,0.414,7.8
1808,3.68,0.0,0.973,0.422,7.83
1809,3.69,0.0,0.976,0.429,7.85
1810,3.69,0.0,0.98,0.436,7.88
1811,3.69,0.0,0.983,0.443,7.91
1812,3.7,0.0,0.986,0.451,7.93
1813,3.7,0.0,0.99,0.458,7.96
1814,3.71,0.0,0.993,0.465,7.99
1815,3.71,0.0,0.997,0.473,8.01
1816,3.71,0.0,1.0,0.48,8.04
1817,3.72,0.0,1.0,0.487,8.07
1818,3.72,0.0,1.01,0.494,8.1
1819,3.73,0.0,1.01,0.502,8.12
1820,3.73,0.0,1.01,0.509,8.15
1821,3.74,0.0,1.02,0.516,8.2
1822,3.76,0.0,1.03,0.523,8.26
1823,3.78,0.0,1.03,0.531,8.31
1824,3.79,0.0,1.04,0.538,8.37
1825,3.81,0.0,1.05,0.545,8.42
1826,3.82,0.0,1.05,0.552,8.47
1827,3.84,0.0,1.06,0.56,8.53
1828,3.85,0.0,1.07,0.567,8.58
1829,3.87,0.0,1.07,0.574,8.64
1830,3.88,0.0,1.08,0.582,8.69
1831,3.9,0.0,1.09,0.589,8.75
1832,3.91,0.0,1.09,0.596,8.81
1833,3.93,0.0,1.1,0.603,8.86
1834,3.95,0.0,1.11,0.611,8.92
1835,3.96,0.0,1.12,0.618,8.98
1836,3.98,0.0,1.12,0.625,9.04
1837,3.99,0.0,1.13,0.632,9.09
1838,4.01,0.0,1.14,0.64,9.15
1839,4.02,0.0,1.15,0.647,9.21
1840,4.04,0.0,1.15,0.654,9.27
1841,4.05,0.0,1.16,0.662,9.33
1842,4.07,0.0,1.17,0.669,9.39
1843,4.09,0.0,1.18,0.676,9.45
1844,4.1,0.0,1.18,0.683,9.51
1845,4.12,0.0,1.19,0.691,9.57
1846,4.13,0.0,1.2,0.698,9.63
1847,4.15,0.0,1.21,0.705,9.7
1848,4.17,0.0,1.21,0.712,9.76
1849,4.18,0.0,1.22,0.72,9.82
1850,4.46,0.00151,1.23,0.727,9.86
1851,4.49,0.00151,1.24,0.734,9.94
1852,4.51,0.00151,1.25,0.741,10.0
1853,4.53,0.00151,1.25,0.749,10.1
1854,4.55,0.00151,1.26,0.756,10.2
1855,4.57,0.00151,1.27,0.763,10.2
1856,4.59,0.00151,1.28,0.771,10.3
1857,4.6,0.00151,1.29,0.778,10.4
1858,4.62,0.00151,1.3,0.785,10.4
1859,4.63,0.00151,1.31,0.792,10.5
1860,4.67,0.00786,1.31,0.8,10.6
1861,5.35,0.147,1.32,0.807,10.6
1862,5.93,0.267,1.32,0.814,10.6
1863,5.78,0.233,1.32,0.821,10.6
1864,6.35,0.348,1.33,0.829,10.7
1865,6.01,0.272,1.33,0.836,10.7
1866,6.24,0.314,1.33,0.843,10.7
1867,6.24,0.308,1.33,0.851,10.7
1868,6.47,0.348,1.34,0.858,10.7
1869,6.66,0.389,1.34,0.865,10.8
1870,7.51,0.558,1.34,0.872,10.8
1871,7.13,0.476,1.35,0.88,10.9
1872,7.83,0.62,1.36,0.887,11.0
1873,7.64,0.581,1.38,0.894,11.1
1874,7.89,0.624,1.39,0.901,11.2
1875,7.98,0.639,1.41,0.909,11.3
1876,9.08,0.865,1.42,0.916,11.5
1877,8.79,0.795,1.44,0.923,11.6
1878,8.79,0.793,1.46,0.93,11.7
1879,9.39,0.91,1.47,0.938,11.8
1880,10.1,1.06,1.48,0.945,11.9
