year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0183,0.0,0.116,2.1000000000000001e-19,2.21
1751,0.0184,0.0,0.116,7.13e-05,2.22
1752,0.0184,0.0,0.117,0.00014299999999999998,2.23
1753,0.0185,0.0,0.117,0.000214,2.24
1754,0.0185,0.0,0.117,0.000285,2.24
1755,0.018600000000000002,0.0,0.118,0.000357,2.25
1756,0.018699999999999998,0.0,0.118,0.000428,2.26
1757,0.018699999999999998,0.0,0.119,0.000499,2.27
1758,0.0188,0.0,0.119,0.00057,2.27
1759,0.0188,0.0,0.119,0.000642,2.28
1760,0.0189,0.0,0.12,0.000713,2.29
1761,0.019,0.0,0.12,0.0007840000000000001,2.3
1762,0.019,0.0,0.121,0.000856,2.3
1763,0.019100000000000002,0.0,0.121,0.0009270000000000001,2.31
1764,0.0192,0.0,0.121,0.000998,2.32
1765,0.0192,0.0,0.122,0.00107,2.33
1766,0.0193,0.0,0.122,0.00114,2.34
1767,0.0193,0.0,0.123,0.00121,2.34
1768,0.019399999999999997,0.0,0.123,0.00128,2.35
1769,0.0195,0.0,0.123,0.00135,2.36
1770,0.0195,0.0,0.124,0.0014299999999999998,2.37
1771,0.019600000000000003,0.0,0.124,0.0015,2.38
1772,0.0197,0.0,0.125,0.00157,2.38
1773,0.0197,0.0,0.125,0.00164,2.39
1774,0.0198,0.0,0.126,0.00171,2.4
1775,0.019899999999999998,0.0,0.126,0.0017800000000000001,2.41
1776,0.019899999999999998,0.0,0.126,0.00185,2.42
1777,0.02,0.0,0.127,0.0019299999999999999,2.43
1778,0.02,0.0,0.127,0.002,2.43
1779,0.0201,0.0,0.128,0.00207,2.44
1780,0.0202,0.0,0.128,0.00214,2.45
1781,0.0202,0.0,0.129,0.00221,2.46
1782,0.020300000000000002,0.0,0.129,0.00228,2.47
1783,0.020399999999999998,0.0,0.129,0.00235,2.48
1784,0.020399999999999998,0.0,0.13,0.00242,2.48
1785,0.0205,0.0,0.13,0.0025,2.49
1786,0.0206,0.0,0.131,0.00257,2.5
1787,0.0206,0.0,0.131,0.00264,2.51
1788,0.0207,0.0,0.132,0.00271,2.52
1789,0.0208,0.0,0.132,0.00278,2.53
1790,0.0208,0.0,0.133,0.00285,2.53
1791,0.0209,0.0,0.133,0.00292,2.54
1792,0.021,0.0,0.133,0.00299,2.55
1793,0.021,0.0,0.134,0.00307,2.56
1794,0.0211,0.0,0.134,0.00314,2.57
1795,0.0212,0.0,0.135,0.00321,2.58
1796,0.0212,0.0,0.135,0.00328,2.59
1797,0.0213,0.0,0.136,0.00335,2.6
1798,0.0214,0.0,0.136,0.00342,2.6
1799,0.0215,0.0,0.137,0.00349,2.61
1800,0.0215,0.0,0.137,0.00357,2.62
1801,0.0216,0.0,0.138,0.00364,2.63
1802,0.0217,0.0,0.138,0.0037099999999999998,2.64
1803,0.0217,0.0,0.139,0.00378,2.65
1804,0.0218,0.0,0.139,0.00385,2.66
1805,0.0219,0.0,0.14,0.00392,2.67
1806,0.0219,0.0,0.14,0.0039900000000000005,2.68
1807,0.022,0.0,0.14,0.004059999999999999,2.68
1808,0.0221,0.0,0.141,0.00414,2.69
1809,0.0221,0.0,0.141,0.00421,2.7
1810,0.0222,0.0,0.142,0.00428,2.71
1811,0.0223,0.0,0.142,0.00435,2.72
1812,0.0224,0.0,0.143,0.00442,2.73
1813,0.0225,0.0,0.144,0.00449,2.75
1814,0.022600000000000002,0.0,0.144,0.00456,2.76
1815,0.022699999999999998,0.0,0.145,0.00463,2.77
1816,0.022699999999999998,0.0,0.145,0.00471,2.78
1817,0.0228,0.0,0.146,0.00478,2.79
1818,0.0229,0.0,0.147,0.004849999999999999,2.8
1819,0.023,0.0,0.147,0.00492,2.81
1820,0.023100000000000002,0.0,0.148,0.0049900000000000005,2.83
1821,0.0232,0.0,0.148,0.005059999999999999,2.84
1822,0.0233,0.0,0.149,0.00513,2.85
