year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,4.21e-06,9.22e-22,3.73e-05
1751,0.0,0.0,4.219999999999999e-06,3.1e-07,3.74e-05
1752,0.0,0.0,4.24e-06,6.19e-07,3.76e-05
1753,0.0,0.0,4.26e-06,9.29e-07,3.7699999999999995e-05
1754,0.0,0.0,4.28e-06,1.24e-06,3.7900000000000006e-05
1755,0.0,0.0,4.2900000000000004e-06,1.55e-06,3.8e-05
1756,0.0,0.0,4.309999999999999e-06,1.8600000000000002e-06,3.82e-05
1757,0.0,0.0,4.33e-06,2.17e-06,3.83e-05
1758,0.0,0.0,4.34e-06,2.48e-06,3.85e-05
1759,0.0,0.0,4.36e-06,2.79e-06,3.86e-05
1760,0.0,0.0,4.38e-06,3.1e-06,3.88e-05
1761,0.0,0.0,4.4e-06,3.41e-06,3.89e-05
1762,0.0,0.0,4.41e-06,3.7200000000000004e-06,3.91e-05
1763,0.0,0.0,4.43e-06,4.0299999999999995e-06,3.93e-05
1764,0.0,0.0,4.45e-06,4.34e-06,3.9399999999999995e-05
1765,0.0,0.0,4.47e-06,4.6499999999999995e-06,3.96e-05
1766,0.0,0.0,4.49e-06,4.96e-06,3.9699999999999996e-05
1767,0.0,0.0,4.499999999999999e-06,5.27e-06,3.99e-05
1768,0.0,0.0,4.52e-06,5.57e-06,4.01e-05
1769,0.0,0.0,4.54e-06,5.88e-06,4.02e-05
1770,0.0,0.0,4.5599999999999995e-06,6.19e-06,4.04e-05
1771,0.0,0.0,4.58e-06,6.5e-06,4.05e-05
1772,0.0,0.0,4.6e-06,6.81e-06,4.07e-05
1773,0.0,0.0,4.610000000000001e-06,7.12e-06,4.09e-05
1774,0.0,0.0,4.63e-06,7.43e-06,4.1e-05
1775,0.0,0.0,4.6499999999999995e-06,7.74e-06,4.12e-05
1776,0.0,0.0,4.669999999999999e-06,8.05e-06,4.14e-05
1777,0.0,0.0,4.69e-06,8.36e-06,4.15e-05
1778,0.0,0.0,4.71e-06,8.67e-06,4.1700000000000004e-05
1779,0.0,0.0,4.73e-06,8.98e-06,4.19e-05
1780,0.0,0.0,4.74e-06,9.289999999999999e-06,4.2000000000000004e-05
1781,0.0,0.0,4.76e-06,9.6e-06,4.22e-05
1782,0.0,0.0,4.78e-06,9.91e-06,4.24e-05
1783,0.0,0.0,4.8e-06,1.02e-05,4.25e-05
1784,0.0,0.0,4.82e-06,1.0500000000000001e-05,4.27e-05
1785,0.0,0.0,4.839999999999999e-06,1.08e-05,4.29e-05
1786,0.0,0.0,4.86e-06,1.11e-05,4.2999999999999995e-05
1787,0.0,0.0,4.88e-06,1.15e-05,4.32e-05
1788,0.0,0.0,4.9e-06,1.18e-05,4.34e-05
1789,0.0,0.0,4.9199999999999995e-06,1.21e-05,4.36e-05
1790,0.0,0.0,4.94e-06,1.24e-05,4.3700000000000005e-05
1791,0.0,0.0,4.96e-06,1.2699999999999999e-05,4.39e-05
1792,0.0,0.0,4.98e-06,1.3e-05,4.41e-05
1793,0.0,0.0,5e-06,1.33e-05,4.43e-05
1794,0.0,0.0,5.02e-06,1.3599999999999999e-05,4.44e-05
1795,0.0,0.0,5.04e-06,1.3899999999999999e-05,4.46e-05
1796,0.0,0.0,5.060000000000001e-06,1.4200000000000001e-05,4.48e-05
1797,0.0,0.0,5.0800000000000005e-06,1.46e-05,4.4999999999999996e-05
1798,0.0,0.0,5.1e-06,1.49e-05,4.5199999999999994e-05
1799,0.0,0.0,5.12e-06,1.52e-05,4.53e-05
1800,0.0,0.0,5.14e-06,1.55e-05,4.55e-05
1801,0.0,0.0,5.16e-06,1.58e-05,4.57e-05
1802,0.0,0.0,5.1799999999999995e-06,1.61e-05,4.5900000000000004e-05
1803,0.0,0.0,5.199999999999999e-06,1.6400000000000002e-05,4.61e-05
1804,0.0,0.0,5.22e-06,1.67e-05,4.63e-05
1805,0.0,0.0,5.24e-06,1.7e-05,4.6399999999999996e-05
1806,0.0,0.0,5.26e-06,1.73e-05,4.66e-05
1807,0.0,0.0,5.29e-06,1.77e-05,4.68e-05
1808,0.0,0.0,5.31e-06,1.7999999999999997e-05,4.7e-05
1809,0.0,0.0,5.33e-06,1.83e-05,4.72e-05
1810,0.0,0.0,5.35e-06,1.8599999999999998e-05,4.74e-05
1811,0.0,0.0,5.38e-06,1.89e-05,4.77e-05
1812,0.0,0.0,5.41e-06,1.92e-05,4.8e-05
1813,0.0,0.0,5.45e-06,1.95e-05,4.82e-05
1814,0.0,0.0,5.48e-06,1.98e-05,4.85e-05
1815,0.0,0.0,5.51e-06,2.01e-05,4.88e-05
1816,0.0,0.0,5.5399999999999995e-06,2.04e-05,4.91e-05
1817,0.0,0.0,5.58e-06,2.0799999999999997e-05,4.94e-05
1818,0.0,0.0,5.6100000000000005e-06,2.11e-05,4.97e-05
1819,0.0,0.0,5.64e-06,2.14e-05,5e-05
1820,0.0,0.0,5.67e-06,2.17e-05,5.02e-05
