year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,0.0,3.25e-22,3.3899999999999997e-06
1751,0.0,0.0,0.0,1.1e-07,3.41e-06
1752,0.0,0.0,0.0,2.2e-07,3.42e-06
1753,0.0,0.0,0.0,3.3e-07,3.4299999999999998e-06
1754,0.0,0.0,0.0,4.39e-07,3.45e-06
1755,0.0,0.0,0.0,5.490000000000001e-07,3.46e-06
1756,0.0,0.0,0.0,6.59e-07,3.48e-06
1757,0.0,0.0,0.0,7.690000000000001e-07,3.49e-06
1758,0.0,0.0,0.0,8.79e-07,3.5e-06
1759,0.0,0.0,0.0,9.89e-07,3.52e-06
1760,0.0,0.0,0.0,1.1e-06,3.53e-06
1761,0.0,0.0,0.0,1.2099999999999998e-06,3.5500000000000003e-06
1762,0.0,0.0,0.0,1.32e-06,3.56e-06
1763,0.0,0.0,0.0,1.43e-06,3.5699999999999997e-06
1764,0.0,0.0,0.0,1.5399999999999999e-06,3.59e-06
1765,0.0,0.0,0.0,1.65e-06,3.6e-06
1766,0.0,0.0,0.0,1.76e-06,3.62e-06
1767,0.0,0.0,0.0,1.8699999999999999e-06,3.63e-06
1768,0.0,0.0,0.0,1.98e-06,3.65e-06
1769,0.0,0.0,0.0,2.09e-06,3.66e-06
1770,0.0,0.0,0.0,2.2e-06,3.68e-06
1771,0.0,0.0,0.0,2.31e-06,3.6900000000000002e-06
1772,0.0,0.0,0.0,2.4199999999999997e-06,3.71e-06
1773,0.0,0.0,0.0,2.5300000000000003e-06,3.7200000000000004e-06
1774,0.0,0.0,0.0,2.64e-06,3.7399999999999998e-06
1775,0.0,0.0,0.0,2.75e-06,3.7499999999999997e-06
1776,0.0,0.0,0.0,2.86e-06,3.77e-06
1777,0.0,0.0,0.0,2.97e-06,3.78e-06
1778,0.0,0.0,0.0,3.0799999999999997e-06,3.8e-06
1779,0.0,0.0,0.0,3.19e-06,3.81e-06
1780,0.0,0.0,0.0,3.3e-06,3.83e-06
1781,0.0,0.0,0.0,3.41e-06,3.8400000000000005e-06
1782,0.0,0.0,0.0,3.52e-06,3.86e-06
1783,0.0,0.0,0.0,3.63e-06,3.87e-06
1784,0.0,0.0,0.0,3.7399999999999998e-06,3.89e-06
1785,0.0,0.0,0.0,3.8400000000000005e-06,3.9e-06
1786,0.0,0.0,0.0,3.95e-06,3.92e-06
1787,0.0,0.0,0.0,4.06e-06,3.9300000000000005e-06
1788,0.0,0.0,0.0,4.17e-06,3.95e-06
1789,0.0,0.0,0.0,4.28e-06,3.969999999999999e-06
1790,0.0,0.0,0.0,4.3899999999999995e-06,3.98e-06
1791,0.0,0.0,0.0,4.499999999999999e-06,4e-06
1792,0.0,0.0,0.0,4.610000000000001e-06,4.01e-06
1793,0.0,0.0,0.0,4.7200000000000005e-06,4.0299999999999995e-06
1794,0.0,0.0,0.0,4.83e-06,4.05e-06
1795,0.0,0.0,0.0,4.94e-06,4.06e-06
1796,0.0,0.0,0.0,5.05e-06,4.08e-06
1797,0.0,0.0,0.0,5.16e-06,4.1000000000000006e-06
1798,0.0,0.0,0.0,5.27e-06,4.11e-06
1799,0.0,0.0,0.0,5.38e-06,4.13e-06
1800,0.0,0.0,0.0,5.49e-06,4.139999999999999e-06
1801,0.0,0.0,0.0,5.6e-06,4.16e-06
1802,0.0,0.0,0.0,5.7099999999999995e-06,4.18e-06
1803,0.0,0.0,0.0,5.819999999999999e-06,4.1900000000000005e-06
1804,0.0,0.0,0.0,5.93e-06,4.21e-06
1805,0.0,0.0,0.0,6.040000000000001e-06,4.23e-06
1806,0.0,0.0,0.0,6.15e-06,4.25e-06
1807,0.0,0.0,0.0,6.26e-06,4.26e-06
1808,0.0,0.0,0.0,6.37e-06,4.28e-06
1809,0.0,0.0,0.0,6.48e-06,4.3e-06
1810,0.0,0.0,0.0,6.5900000000000004e-06,4.309999999999999e-06
1811,0.0,0.0,0.0,6.7e-06,4.34e-06
1812,0.0,0.0,0.0,6.81e-06,4.37e-06
1813,0.0,0.0,0.0,6.92e-06,4.3899999999999995e-06
1814,0.0,0.0,0.0,7.03e-06,4.42e-06
1815,0.0,0.0,0.0,7.139999999999999e-06,4.440000000000001e-06
1816,0.0,0.0,0.0,7.25e-06,4.47e-06
1817,0.0,0.0,0.0,7.36e-06,4.499999999999999e-06
1818,0.0,0.0,0.0,7.4700000000000005e-06,4.52e-06
1819,0.0,0.0,0.0,7.58e-06,4.5500000000000005e-06
1820,0.0,0.0,0.0,7.69e-06,4.57e-06
1821,0.0,0.0,0.0,7.8e-06,4.6e-06
1822,0.0,0.0,0.0,7.91e-06,4.63e-06
1823,0.0,0.0,0.0,8.02e-06,4.66e-06
1824,0.0,0.0,0.0,8.13e-06,4.69e-06
1825,0.0,0.0,0.0,8.24e-06,4.71e-06
1826,0.0,0.0,0.0,8.35e-06,4.74e-06
1827,0.0,0.0,0.0,8.46e-06,4.77e-06
1828,0.0,0.0,0.0,8.57e-06,4.8e-06
1829,0.0,0.0,0.0,8.68e-06,4.82e-06
1830,0.0,0.0,0.0,8.789999999999999e-06,4.85e-06
1831,0.0,0.0,0.0,8.9e-06,4.88e-06
1832,0.0,0.0,0.0,9.01e-06,4.9100000000000004e-06
1833,0.0,0.0,0.0,9.119999999999999e-06,4.94e-06
1834,0.0,0.0,0.0,9.23e-06,4.97e-06
1835,0.0,0.0,0.0,9.339999999999999e-06,5e-06
1836,0.0,0.0,0.0,9.45e-06,5.03e-06
1837,0.0,0.0,0.0,9.56e-06,5.060000000000001e-06
