year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,8.879999999999999e-09
1851,8.879999999999999e-09
1852,8.879999999999999e-09
1853,8.879999999999999e-09
1854,8.879999999999999e-09
1855,8.879999999999999e-09
1856,8.879999999999999e-09
1857,8.879999999999999e-09
1858,8.879999999999999e-09
1859,8.879999999999999e-09
1860,8.879999999999999e-09
1861,8.879999999999999e-09
1862,8.879999999999999e-09
1863,8.879999999999999e-09
1864,8.879999999999999e-09
1865,8.879999999999999e-09
1866,8.879999999999999e-09
1867,8.879999999999999e-09
1868,8.879999999999999e-09
1869,8.879999999999999e-09
1870,8.879999999999999e-09
1871,8.879999999999999e-09
1872,8.879999999999999e-09
1873,8.879999999999999e-09
1874,8.879999999999999e-09
1875,8.879999999999999e-09
1876,8.879999999999999e-09
1877,8.879999999999999e-09
1878,8.879999999999999e-09
1879,8.879999999999999e-09
1880,8.879999999999999e-09
1881,8.879999999999999e-09
1882,8.879999999999999e-09
1883,8.879999999999999e-09
1884,8.889999999999999e-09
1885,8.889999999999999e-09
1886,8.889999999999999e-09
1887,8.889999999999999e-09
1888,8.889999999999999e-09
1889,8.889999999999999e-09
1890,8.889999999999999e-09
1891,1.02e-08
1892,1.3699999999999999e-08
1893,1.91e-08
1894,2.58e-08
1895,3.34e-08
1896,4.16e-08
1897,4.9799999999999996e-08
1898,5.76e-08
1899,6.46e-08
1900,7.03e-08
1901,7.5e-08
1902,7.92e-08
1903,8.32e-08
1904,8.69e-08
1905,9.06e-08
1906,9.43e-08
1907,9.81e-08
1908,1.02e-07
1909,1.07e-07
1910,1.11e-07
1911,1.17e-07
1912,1.22e-07
1913,1.2799999999999998e-07
1914,1.35e-07
1915,1.41e-07
1916,1.49e-07
1917,1.56e-07
1918,1.64e-07
1919,1.72e-07
1920,1.8000000000000002e-07
1921,2.1900000000000002e-07
1922,3.1e-07
1923,4.43e-07
1924,6.089999999999999e-07
1925,7.97e-07
1926,9.970000000000002e-07
1927,1.2e-06
1928,1.39e-06
1929,1.57e-06
1930,1.71e-06
1931,1.84e-06
1932,1.96e-06
1933,2.0699999999999997e-06
1934,2.19e-06
1935,2.3e-06
1936,2.4e-06
1937,2.51e-06
1938,2.62e-06
1939,2.74e-06
1940,2.8500000000000002e-06
1941,2.98e-06
1942,3.1e-06
1943,3.23e-06
1944,3.36e-06
1945,3.5100000000000003e-06
1946,3.66e-06
1947,3.82e-06
1948,3.98e-06
1949,4.16e-06
1950,4.36e-06
1951,4.57e-06
1952,4.79e-06
1953,5.04e-06
1954,5.31e-06
1955,5.58e-06
1956,5.8700000000000005e-06
1957,6.18e-06
1958,6.49e-06
1959,6.81e-06
1960,7.13e-06
1961,7.49e-06
1962,7.889999999999999e-06
1963,8.33e-06
1964,8.8e-06
1965,9.26e-06
1966,9.72e-06
1967,1.02e-05
1968,1.06e-05
1969,1.09e-05
1970,1.09e-05
1971,0.0012
1972,0.0024
1973,0.0059299999999999995
1974,0.0089
1975,0.0114
1976,0.016
1977,0.0172
1978,0.023
1979,0.030899999999999997
1980,0.0378
1981,0.039
1982,0.0409
1983,0.0518
1984,0.0756
1985,0.0629
1986,0.078
1987,0.0965
1988,0.134
1989,0.144
1990,0.146
1991,0.149
1992,0.153
1993,0.196
1994,0.22
1995,0.276
1996,0.315
1997,0.359
1998,0.398
1999,0.521
2000,0.496
2001,0.883
2002,0.957
2003,1.05
2004,0.976
2005,1.01
2006,1.2
2007,1.29
2008,1.38
2009,0.95
2010,0.988
2011,0.959
2012,0.931
2013,1.25
2014,1.29
2015,1.33
2016,1.37
2017,1.41
2018,1.45
2019,1.49
