year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,6.92e-09
1922,2.5700000000000002e-08
1923,5.3399999999999995e-08
1924,8.69e-08
1925,1.24e-07
1926,1.6e-07
1927,1.94e-07
1928,2.21e-07
1929,2.4000000000000003e-07
1930,2.47e-07
1931,2.41e-07
1932,2.2599999999999999e-07
1933,2.04e-07
1934,1.7699999999999998e-07
1935,1.47e-07
1936,1.18e-07
1937,9.050000000000001e-08
1938,6.82e-08
1939,5.3e-08
1940,4.74e-08
1941,4.8399999999999997e-08
1942,5.11e-08
1943,5.5300000000000005e-08
1944,6.090000000000001e-08
1945,6.75e-08
1946,7.5e-08
1947,8.32e-08
1948,9.170000000000001e-08
1949,1.0000000000000001e-07
1950,1.0900000000000001e-07
1951,1.18e-07
1952,1.29e-07
1953,1.3999999999999998e-07
1954,1.53e-07
1955,1.66e-07
1956,1.8100000000000002e-07
1957,1.97e-07
1958,2.14e-07
1959,2.32e-07
1960,2.5099999999999996e-07
1961,2.73e-07
1962,2.99e-07
1963,3.28e-07
1964,3.61e-07
1965,3.97e-07
1966,4.3600000000000004e-07
1967,4.79e-07
1968,5.240000000000001e-07
1969,5.71e-07
1970,5.69e-07
1971,8.82e-07
1972,1.34e-06
1973,2.04e-06
1974,3.13e-06
1975,4.82e-06
1976,7.46e-06
1977,1.1599999999999999e-05
1978,1.8200000000000002e-05
1979,2.88e-05
1980,4.5900000000000004e-05
1981,7.38e-05
1982,0.00011999999999999999
1983,0.00019800000000000002
1984,0.00033
1985,0.0005610000000000001
1986,0.000973
1987,0.00173
1988,0.00315
1989,0.005900000000000001
1990,0.00564
1991,0.00975
1992,0.0112
1993,0.0263
1994,0.0638
1995,0.118
1996,0.2
1997,0.331
1998,0.429
1999,0.567
2000,0.682
2001,0.755
2002,0.826
2003,0.888
2004,0.961
2005,0.985
2006,1.01
2007,1.01
2008,1.03
2009,1.03
2010,1.01
2011,0.985
2012,0.968
2013,0.958
2014,0.98
2015,0.993
2016,1.01
2017,0.969
2018,0.913
2019,0.868
