year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00434,5.5e-08,0.00019700000000000002,1.7899999999999998e-20,0.0063
1751,0.00434,5.51e-08,0.00019700000000000002,5.7999999999999995e-06,0.00632
1752,0.00434,5.5300000000000005e-08,0.00019800000000000002,1.1599999999999999e-05,0.00634
1753,0.00435,5.54e-08,0.000199,1.74e-05,0.00636
1754,0.00435,5.56e-08,0.0002,2.3199999999999998e-05,0.00638
1755,0.00436,5.5699999999999996e-08,0.0002,2.9e-05,0.0064
1756,0.00437,5.8e-08,0.000201,3.48e-05,0.00641
1757,0.00437,5.8100000000000004e-08,0.000202,4.06e-05,0.00643
1758,0.00437,5.83e-08,0.000203,4.6399999999999996e-05,0.00645
1759,0.00438,5.84e-08,0.000203,5.22e-05,0.00647
1760,0.00438,5.86e-08,0.000204,5.8e-05,0.00649
1761,0.00439,6.19e-08,0.000205,6.379999999999999e-05,0.00651
1762,0.0044,6.2e-08,0.000205,6.96e-05,0.00653
1763,0.0044,6.219999999999999e-08,0.000206,7.539999999999999e-05,0.00654
1764,0.0044,6.23e-08,0.000207,8.12e-05,0.00656
1765,0.00441,6.25e-08,0.000208,8.7e-05,0.00658
1766,0.00442,6.68e-08,0.000208,9.279999999999999e-05,0.0066
1767,0.00442,6.7e-08,0.00020899999999999998,9.86e-05,0.00662
1768,0.00443,6.71e-08,0.00020999999999999998,0.000104,0.00664
1769,0.00443,6.73e-08,0.000211,0.00011,0.0066500000000000005
1770,0.00443,6.75e-08,0.000211,0.000116,0.00667
1771,0.00445,7.2e-08,0.000212,0.000122,0.0067
1772,0.0044599999999999996,7.220000000000001e-08,0.000213,0.000128,0.00674
1773,0.0044599999999999996,7.229999999999999e-08,0.000214,0.000133,0.00677
1774,0.00447,7.25e-08,0.000215,0.00013900000000000002,0.0068
1775,0.0044800000000000005,7.270000000000001e-08,0.000215,0.000145,0.00683
1776,0.0045,7.75e-08,0.000216,0.00015099999999999998,0.006860000000000001
1777,0.0045,7.760000000000001e-08,0.000217,0.000157,0.006900000000000001
1778,0.00451,7.78e-08,0.00021799999999999999,0.000162,0.0069299999999999995
1779,0.00451,7.8e-08,0.00021799999999999999,0.00016800000000000002,0.00696
1780,0.00452,7.81e-08,0.000219,0.000174,0.0069900000000000006
1781,0.00455,8.42e-08,0.00022,0.00017999999999999998,0.007030000000000001
1782,0.00455,8.44e-08,0.000221,0.000186,0.00708
1783,0.00456,8.45e-08,0.000222,0.000191,0.0071200000000000005
1784,0.00457,8.47e-08,0.000222,0.00019700000000000002,0.0071600000000000006
1785,0.00458,8.49e-08,0.000223,0.000203,0.0072
1786,0.00461,9.26e-08,0.000224,0.00020899999999999998,0.00725
1787,0.00462,9.280000000000001e-08,0.000225,0.000215,0.00729
1788,0.00463,9.289999999999999e-08,0.00022600000000000002,0.00022,0.00733
1789,0.00464,9.309999999999999e-08,0.00022600000000000002,0.00022600000000000002,0.00738
1790,0.00464,9.330000000000001e-08,0.00022700000000000002,0.000232,0.0074199999999999995
1791,0.00467,1.01e-07,0.000228,0.00023799999999999998,0.00745
1792,0.00468,1.03e-07,0.000229,0.000244,0.0074800000000000005
1793,0.00468,1.03e-07,0.00023,0.000249,0.00751
1794,0.00468,1.03e-07,0.00023,0.000255,0.00754
1795,0.004690000000000001,1.03e-07,0.000231,0.000261,0.00757
1796,0.0047,1.07e-07,0.000232,0.00026700000000000004,0.0076
1797,0.00471,1.11e-07,0.00023300000000000003,0.000273,0.00763
1798,0.004730000000000001,1.14e-07,0.00023400000000000002,0.00027800000000000004,0.00766
1799,0.00474,1.1900000000000001e-07,0.000235,0.00028399999999999996,0.007690000000000001
1800,0.0047599999999999995,1.22e-07,0.000235,0.00029,0.007730000000000001
1801,0.0047599999999999995,1.22e-07,0.000236,0.000296,0.0077800000000000005
1802,0.0048200000000000005,1.7899999999999997e-07,0.000237,0.00030199999999999997,0.00783
1803,0.00481,1.34e-07,0.00023799999999999998,0.000307,0.00788
1804,0.004849999999999999,1.5e-07,0.00023899999999999998,0.000313,0.00793
1805,0.00483,1.3999999999999998e-07,0.00023999999999999998,0.000319,0.007980000000000001
1806,0.004860000000000001,1.46e-07,0.00023999999999999998,0.000325,0.008029999999999999
1807,0.00487,1.52e-07,0.000241,0.000331,0.00808
1808,0.00487,1.46e-07,0.000242,0.00033600000000000004,0.00813
1809,0.00488,1.46e-07,0.000243,0.000342,0.00818
1810,0.00491,1.61e-07,0.000244,0.000348,0.008230000000000001
1811,0.00497,1.68e-07,0.000245,0.000354,0.0083
1812,0.005019999999999999,1.74e-07,0.000247,0.00035999999999999997,0.008369999999999999
1813,0.005059999999999999,1.74e-07,0.000248,0.000365,0.00845
1814,0.0050999999999999995,1.7699999999999998e-07,0.00025,0.000371,0.00852
1815,0.00514,1.83e-07,0.000252,0.000377,0.0086
1816,0.00521,1.97e-07,0.000253,0.000383,0.00867
1817,0.00525,2.04e-07,0.000255,0.000389,0.00874
1818,0.00528,2.03e-07,0.000256,0.00039400000000000004,0.00882
1819,0.00532,2.05e-07,0.000258,0.0004,0.00889
1820,0.00536,2.09e-07,0.000259,0.000406,0.00897
1821,0.0054,2.12e-07,0.000262,0.000412,0.00904
1822,0.00545,2.1900000000000002e-07,0.000264,0.00041799999999999997,0.00911
1823,0.00551,2.28e-07,0.000266,0.000423,0.00919
1824,0.00556,2.36e-07,0.000268,0.000429,0.00926
1825,0.0056,2.44e-07,0.00027,0.000435,0.00933
1826,0.00564,2.47e-07,0.000272,0.000441,0.00941
1827,0.005719999999999999,2.68e-07,0.000275,0.000447,0.00948
1828,0.0057599999999999995,2.71e-07,0.000277,0.00045200000000000004,0.00956
1829,0.00579,2.73e-07,0.000279,0.000458,0.009630000000000001
1830,0.00598,3.6900000000000004e-07,0.00028100000000000005,0.000464,0.009699999999999999
1831,0.0059900000000000005,3.46e-07,0.000283,0.00047,0.00977
1832,0.006019999999999999,3.4699999999999997e-07,0.00028599999999999996,0.00047599999999999997,0.00984
1833,0.00607,3.53e-07,0.00028799999999999995,0.000481,0.00992
1834,0.00613,4.17e-07,0.00029099999999999997,0.00048699999999999997,0.00999
1835,0.00617,3.74e-07,0.00029299999999999997,0.000493,0.0101
1836,0.00633,4.33e-07,0.000296,0.000499,0.0101
1837,0.00635,4.42e-07,0.000298,0.000505,0.010199999999999999
1838,0.00641,4.6e-07,0.0003,0.00051,0.0103
1839,0.00646,5.44e-07,0.000303,0.000516,0.0103
1840,0.00654,5.63e-07,0.000305,0.000522,0.0104
1841,0.00657,6.02e-07,0.000307,0.000528,0.0104
1842,0.00662,7.05e-07,0.000309,0.0005340000000000001,0.0104
1843,0.0066500000000000005,6.82e-07,0.000311,0.000539,0.0104
1844,0.00671,7.82e-07,0.000313,0.000545,0.0104
1845,0.006809999999999999,8.43e-07,0.000315,0.0005510000000000001,0.0104
1846,0.00679,1.09e-06,0.000317,0.0005570000000000001,0.0104
1847,0.006900000000000001,1.22e-06,0.000319,0.0005629999999999999,0.0105
1848,0.00688,1.2999999999999998e-06,0.000321,0.0005679999999999999,0.0105
1849,0.00696,1.39e-06,0.000323,0.000574,0.0105
1850,0.00719,1.49e-06,0.000324,0.00058,0.0105
1851,0.00711,1.5100000000000002e-06,0.00032700000000000003,0.0005859999999999999,0.0105
1852,0.00713,1.61e-06,0.00033,0.000592,0.0105
1853,0.00718,1.73e-06,0.000332,0.000597,0.0105
1854,0.00747,2.18e-06,0.000335,0.000603,0.0106
1855,0.00744,2.0500000000000003e-06,0.00033800000000000003,0.000609,0.0106
1856,0.007549999999999999,2.44e-06,0.00034,0.000615,0.0106
1857,0.00753,2.64e-06,0.00034300000000000004,0.000621,0.0106
1858,0.00749,2.52e-06,0.000345,0.000626,0.0107
1859,0.0076100000000000004,3.09e-06,0.000347,0.000632,0.0107
1860,0.007809999999999999,3.3999999999999996e-06,0.00034899999999999997,0.000638,0.0107
1861,0.00792,4.270000000000001e-06,0.00035099999999999997,0.000644,0.0107
1862,0.00791,4.839999999999999e-06,0.00035299999999999996,0.00065,0.0108
1863,0.00801,4.7200000000000005e-06,0.00035499999999999996,0.000655,0.0108
1864,0.00817,5.1799999999999995e-06,0.000357,0.000661,0.0108
1865,0.00831,5.14e-06,0.000359,0.0006670000000000001,0.0109
1866,0.00838,5.420000000000001e-06,0.000361,0.0006730000000000001,0.0109
1867,0.00843,5.43e-06,0.000363,0.000679,0.0109
1868,0.00839,5.89e-06,0.000365,0.000684,0.011
1869,0.00848,5.85e-06,0.000367,0.00069,0.011
1870,0.00839,7.05e-06,0.00036899999999999997,0.000696,0.011
1871,0.00848,7.04e-06,0.000373,0.0007019999999999999,0.0111
1872,0.00874,1.03e-05,0.000378,0.000708,0.0112
1873,0.00889,1.12e-05,0.000383,0.000713,0.011300000000000001
1874,0.00867,1.0500000000000001e-05,0.00039,0.000719,0.0114
1875,0.008919999999999999,1.43e-05,0.00039600000000000003,0.000725,0.0115
1876,0.008919999999999999,1.53e-05,0.00040300000000000004,0.000731,0.011699999999999999
1877,0.00891,1.34e-05,0.00041,0.000737,0.011800000000000001
1878,0.00888,1.26e-05,0.000416,0.000742,0.0119
1879,0.00895,1.35e-05,0.000422,0.000748,0.012
1880,0.00931,1.61e-05,0.000426,0.000754,0.0121
1881,0.009460000000000001,1.68e-05,0.00043,0.00076,0.0121
1882,0.009550000000000001,1.87e-05,0.000433,0.000766,0.012199999999999999
1883,0.009720000000000001,1.9699999999999998e-05,0.00043599999999999997,0.000771,0.0123
1884,0.00959,2.0799999999999997e-05,0.00044,0.000777,0.0123
1885,0.00949,2.16e-05,0.000443,0.0007830000000000001,0.0124
1886,0.00942,2.2e-05,0.000446,0.000789,0.0124
1887,0.00954,2.36e-05,0.000449,0.000795,0.0125
1888,0.00973,2.57e-05,0.000453,0.0008,0.0125
1889,0.009869999999999999,2.81e-05,0.000456,0.0008060000000000001,0.0126
1890,0.0101,2.95e-05,0.00045900000000000004,0.000812,0.0125
1891,0.010199999999999999,2.98e-05,0.00046300000000000003,0.0008179999999999999,0.0127
1892,0.0101,2.95e-05,0.000467,0.000824,0.0129
1893,0.00977,2.83e-05,0.00047099999999999996,0.000829,0.0132
1894,0.0103,3.27e-05,0.000475,0.0008349999999999999,0.0134
1895,0.0103,3.18e-05,0.000479,0.000841,0.0135
1896,0.0105,3.23e-05,0.000483,0.000847,0.013699999999999999
1897,0.0108,3.4500000000000005e-05,0.00048699999999999997,0.000853,0.013900000000000001
1898,0.0109,3.6700000000000004e-05,0.000491,0.000858,0.014
1899,0.0112,4.15e-05,0.000496,0.000864,0.0141
1900,0.0115,4.36e-05,0.0005,0.00087,0.014199999999999999
1901,0.011300000000000001,4.19e-05,0.000505,0.000876,0.014199999999999999
1902,0.0114,4.48e-05,0.00051,0.000882,0.0143
1903,0.011699999999999999,4.61e-05,0.000516,0.000887,0.0143
1904,0.011699999999999999,4.82e-05,0.000521,0.000893,0.0143
1905,0.0119,4.91e-05,0.000527,0.0008990000000000001,0.0144
1906,0.0121,5.5e-05,0.000533,0.000905,0.0144
1907,0.0127,6.0400000000000004e-05,0.0005380000000000001,0.000911,0.0144
1908,0.0127,6.24e-05,0.000544,0.000916,0.0144
1909,0.0127,6.28e-05,0.00055,0.0009220000000000001,0.0145
1910,0.0128,6.379999999999999e-05,0.000555,0.000928,0.0145
1911,0.013,6.34e-05,0.000559,0.000934,0.0146
1912,0.013,6.97e-05,0.0005629999999999999,0.00094,0.0146
1913,0.0136,7.56e-05,0.0005669999999999999,0.000945,0.0146
1914,0.0125,6.950000000000001e-05,0.00057,0.0009509999999999999,0.0147
1915,0.0121,6.52e-05,0.000574,0.000957,0.0147
1916,0.0125,6.62e-05,0.000578,0.000963,0.0147
1917,0.0126,3.86e-05,0.0005809999999999999,0.000969,0.0148
1918,0.012,4.12e-05,0.000585,0.0009739999999999999,0.0148
1919,0.0116,4.45e-05,0.000589,0.00098,0.0148
1920,0.0124,4.8e-05,0.000593,0.000986,0.0149
1921,0.011,4.35e-05,0.000598,0.000992,0.0149
1922,0.012199999999999999,5.72e-05,0.000603,0.000998,0.015
1923,0.0125,6.0400000000000004e-05,0.000609,0.001,0.015099999999999999
1924,0.0135,7.06e-05,0.000614,0.00101,0.015099999999999999
1925,0.013300000000000001,6.78e-05,0.00062,0.00101,0.0152
1926,0.011699999999999999,6.890000000000001e-05,0.000625,0.00102,0.015300000000000001
1927,0.013800000000000002,8.49e-05,0.000631,0.00103,0.0154
