year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1.27e-08
1851,1.27e-08
1852,1.27e-08
1853,1.27e-08
1854,1.27e-08
1855,1.27e-08
1856,1.27e-08
1857,1.27e-08
1858,1.27e-08
1859,1.27e-08
1860,1.27e-08
1861,1.27e-08
1862,1.27e-08
1863,1.27e-08
1864,1.27e-08
1865,1.27e-08
1866,1.27e-08
1867,1.27e-08
1868,1.27e-08
1869,1.27e-08
1870,1.27e-08
1871,1.27e-08
1872,1.27e-08
1873,1.27e-08
1874,1.27e-08
1875,1.27e-08
1876,1.27e-08
1877,1.27e-08
1878,1.27e-08
1879,1.27e-08
1880,1.27e-08
1881,1.27e-08
1882,1.27e-08
1883,1.27e-08
1884,1.27e-08
1885,1.27e-08
1886,1.27e-08
1887,1.27e-08
1888,1.27e-08
1889,1.27e-08
1890,1.27e-08
1891,1.48e-08
1892,2.0699999999999997e-08
1893,2.96e-08
1894,4.0899999999999996e-08
1895,5.3600000000000004e-08
1896,6.719999999999999e-08
1897,8.09e-08
1898,9.39e-08
1899,1.06e-07
1900,1.15e-07
1901,1.23e-07
1902,1.3e-07
1903,1.37e-07
1904,1.43e-07
1905,1.49e-07
1906,1.55e-07
1907,1.61e-07
1908,1.68e-07
1909,1.76e-07
1910,1.84e-07
1911,1.93e-07
1912,2.02e-07
1913,2.12e-07
1914,2.23e-07
1915,2.34e-07
1916,2.46e-07
1917,2.58e-07
1918,2.71e-07
1919,2.84e-07
1920,2.98e-07
1921,1.95e-05
1922,7.149999999999999e-05
1923,0.000148
1924,0.000241
1925,0.00034300000000000004
1926,0.000444
1927,0.000537
1928,0.000614
1929,0.000666
1930,0.0006860000000000001
1931,0.00067
1932,0.000628
1933,0.0005669999999999999
1934,0.000492
1935,0.00041
1936,0.00032900000000000003
1937,0.000254
1938,0.000192
1939,0.00015099999999999998
1940,0.000135
1941,0.00013900000000000002
1942,0.000148
1943,0.000163
1944,0.000182
1945,0.000204
1946,0.00023
1947,0.000257
1948,0.000285
1949,0.000314
1950,0.000342
1951,0.000371
1952,0.00040300000000000004
1953,0.000438
1954,0.00047599999999999997
1955,0.000518
1956,0.0005620000000000001
1957,0.00061
1958,0.000661
1959,0.0007149999999999999
1960,0.000772
1961,0.0008359999999999999
1962,0.00091
1963,0.000993
1964,0.00109
1965,0.0011899999999999999
1966,0.0013
1967,0.0014199999999999998
1968,0.00155
1969,0.0016799999999999999
1970,0.00213
1971,0.00281
1972,0.00287
1973,0.00401
1974,0.00429
1975,0.00544
1976,0.00733
1977,0.00936
1978,0.0116
1979,0.0148
1980,0.0174
1981,0.032
1982,0.0362
1983,0.039700000000000006
1984,0.045399999999999996
1985,0.0501
1986,0.046299999999999994
1987,0.042
1988,0.036
1989,0.0295
1990,0.0222
1991,0.0265
1992,0.0339
1993,0.0399
1994,0.0458
1995,0.0505
1996,0.046
1997,0.040600000000000004
1998,0.0386
1999,0.0354
2000,0.031100000000000003
2001,0.103
2002,0.146
2003,0.186
2004,0.243
2005,0.341
2006,0.406
2007,0.483
2008,0.62
2009,0.753
2010,0.965
2011,1.08
2012,1.31
2013,1.68
2014,2.16
2015,1.76
2016,1.89
2017,2.02
2018,2.15
2019,2.28
