year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.0,0.0,3.3800000000000005e-08,1.1e-23,6.95e-09
1751,0.0,0.0,3.4400000000000004e-08,3.76e-09,7.07e-09
1752,0.0,0.0,3.49e-08,7.52e-09,7.189999999999999e-09
1753,0.0,0.0,3.55e-08,1.13e-08,7.3e-09
1754,0.0,0.0,3.6e-08,1.5000000000000002e-08,7.4200000000000004e-09
1755,0.0,0.0,3.6600000000000003e-08,1.88e-08,7.53e-09
1756,0.0,0.0,3.72e-08,2.26e-08,7.649999999999999e-09
1757,0.0,0.0,3.77e-08,2.6299999999999997e-08,7.76e-09
1758,0.0,0.0,3.8300000000000005e-08,3.01e-08,7.88e-09
1759,0.0,0.0,3.89e-08,3.3800000000000005e-08,7.999999999999999e-09
1760,0.0,0.0,3.94e-08,3.76e-08,8.11e-09
1761,0.0,0.0,4.01e-08,4.1399999999999994e-08,8.250000000000001e-09
1762,0.0,0.0,4.07e-08,4.51e-08,8.38e-09
1763,0.0,0.0,4.1399999999999994e-08,4.89e-08,8.52e-09
1764,0.0,0.0,4.21e-08,5.2599999999999995e-08,8.65e-09
1765,0.0,0.0,4.27e-08,5.64e-08,8.790000000000001e-09
1766,0.0,0.0,4.34e-08,6.01e-08,8.92e-09
1767,0.0,0.0,4.4e-08,6.39e-08,9.06e-09
1768,0.0,0.0,4.47e-08,6.77e-08,9.19e-09
1769,0.0,0.0,4.53e-08,7.14e-08,9.33e-09
1770,0.0,0.0,4.6e-08,7.52e-08,9.46e-09
1771,0.0,0.0,4.68e-08,7.89e-08,9.62e-09
1772,0.0,0.0,4.75e-08,8.27e-08,9.779999999999999e-09
1773,0.0,0.0,4.83e-08,8.65e-08,9.94e-09
1774,0.0,0.0,4.91e-08,9.02e-08,1.01e-08
1775,0.0,0.0,4.9799999999999996e-08,9.4e-08,1.03e-08
1776,0.0,0.0,5.0599999999999996e-08,9.770000000000001e-08,1.04e-08
1777,0.0,0.0,5.1400000000000004e-08,1.02e-07,1.06e-08
1778,0.0,0.0,5.2099999999999997e-08,1.05e-07,1.07e-08
1779,0.0,0.0,5.29e-08,1.0900000000000001e-07,1.09e-08
1780,0.0,0.0,5.37e-08,1.1299999999999999e-07,1.1e-08
1781,0.0,0.0,5.46e-08,1.17e-07,1.12e-08
1782,0.0,0.0,5.54e-08,1.2000000000000002e-07,1.14e-08
1783,0.0,0.0,5.63e-08,1.24e-07,1.1600000000000001e-08
1784,0.0,0.0,5.72e-08,1.2799999999999998e-07,1.18e-08
1785,0.0,0.0,5.8100000000000004e-08,1.3200000000000002e-07,1.2e-08
1786,0.0,0.0,5.9e-08,1.35e-07,1.2099999999999999e-08
1787,0.0,0.0,5.99e-08,1.39e-07,1.2300000000000001e-08
1788,0.0,0.0,6.08e-08,1.43e-07,1.2500000000000001e-08
1789,0.0,0.0,6.169999999999999e-08,1.47e-07,1.27e-08
1790,0.0,0.0,6.26e-08,1.5e-07,1.29e-08
1791,0.0,0.0,6.36e-08,1.54e-07,1.31e-08
1792,0.0,0.0,6.47e-08,1.5799999999999999e-07,1.33e-08
1793,0.0,0.0,6.57e-08,1.62e-07,1.35e-08
1794,0.0,0.0,6.68e-08,1.65e-07,1.3699999999999999e-08
1795,0.0,0.0,6.78e-08,1.69e-07,1.4e-08
1796,0.0,0.0,6.889999999999999e-08,1.73e-07,1.42e-08
1797,0.0,0.0,6.990000000000001e-08,1.7699999999999998e-07,1.44e-08
1798,0.0,0.0,7.09e-08,1.8000000000000002e-07,1.46e-08
1799,0.0,0.0,7.2e-08,1.84e-07,1.48e-08
1800,0.0,0.0,7.3e-08,1.88e-07,1.5000000000000002e-08
1801,0.0,0.0,7.43e-08,1.92e-07,1.5299999999999998e-08
1802,0.0,0.0,7.550000000000001e-08,1.9499999999999999e-07,1.55e-08
1803,0.0,0.0,7.669999999999999e-08,1.9900000000000002e-07,1.5800000000000003e-08
1804,0.0,0.0,7.79e-08,2.03e-07,1.5999999999999998e-08
1805,0.0,0.0,7.91e-08,2.07e-07,1.63e-08
1806,0.0,0.0,8.03e-08,2.11e-07,1.6500000000000002e-08
1807,0.0,0.0,8.16e-08,2.14e-07,1.6799999999999998e-08
1808,0.0,0.0,8.279999999999999e-08,2.1800000000000002e-07,1.7e-08
1809,0.0,0.0,8.4e-08,2.22e-07,1.73e-08
1810,0.0,0.0,8.52e-08,2.2599999999999999e-07,1.7499999999999998e-08
1811,0.0,0.0,8.660000000000001e-08,2.29e-07,1.78e-08
1812,0.0,0.0,8.8e-08,2.33e-07,1.81e-08
1813,0.0,0.0,8.949999999999999e-08,2.37e-07,1.84e-08
1814,0.0,0.0,9.09e-08,2.41e-07,1.8700000000000002e-08
1815,0.0,0.0,9.23e-08,2.44e-07,1.9e-08
1816,0.0,0.0,9.37e-08,2.48e-07,1.93e-08
1817,0.0,0.0,9.51e-08,2.52e-07,1.96e-08
1818,0.0,0.0,9.66e-08,2.5599999999999996e-07,1.99e-08
1819,0.0,0.0,9.799999999999999e-08,2.5900000000000003e-07,2.02e-08
1820,0.0,0.0,9.94e-08,2.63e-07,2.05e-08
1821,0.0,0.0,1.01e-07,2.67e-07,2.08e-08
1822,0.0,0.0,1.03e-07,2.71e-07,2.11e-08
1823,0.0,0.0,1.0399999999999999e-07,2.74e-07,2.15e-08
1824,0.0,0.0,1.06e-07,2.78e-07,2.18e-08
1825,0.0,0.0,1.08e-07,2.82e-07,2.22e-08
1826,0.0,0.0,1.0900000000000001e-07,2.86e-07,2.2500000000000003e-08
1827,0.0,0.0,1.11e-07,2.8899999999999995e-07,2.28e-08
1828,0.0,0.0,1.1299999999999999e-07,2.9300000000000004e-07,2.3200000000000003e-08
1829,0.0,0.0,1.14e-07,2.97e-07,2.35e-08
1830,0.0,0.0,1.16e-07,3.01e-07,2.3900000000000002e-08
1831,0.0,0.0,1.18e-07,3.05e-07,2.4300000000000003e-08
1832,0.0,0.0,1.2000000000000002e-07,3.08e-07,2.47e-08
1833,0.0,0.0,1.22e-07,3.12e-07,2.51e-08
1834,0.0,0.0,1.24e-07,3.1599999999999997e-07,2.55e-08
1835,0.0,0.0,1.26e-07,3.2e-07,2.59e-08
1836,0.0,0.0,1.2799999999999998e-07,3.2299999999999997e-07,2.6299999999999997e-08
1837,0.0,0.0,1.3e-07,3.27e-07,2.6699999999999998e-08
1838,0.0,0.0,1.3100000000000002e-07,3.3100000000000004e-07,2.7e-08
1839,0.0,0.0,1.33e-07,3.35e-07,2.7399999999999997e-08
1840,0.0,0.0,1.35e-07,3.38e-07,2.78e-08
1841,0.0,0.0,1.37e-07,3.42e-07,2.82e-08
1842,0.0,0.0,1.39e-07,3.46e-07,2.86e-08
