year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,1e-06
1851,1e-06
1852,1e-06
1853,1e-06
1854,1e-06
1855,1e-06
1856,1e-06
1857,1e-06
1858,1e-06
1859,1e-06
1860,1e-06
1861,1e-06
1862,1e-06
1863,1e-06
1864,1e-06
1865,1e-06
1866,1e-06
1867,1e-06
1868,1e-06
1869,1e-06
1870,1e-06
1871,1e-06
1872,1e-06
1873,1e-06
1874,1e-06
1875,1e-06
1876,1e-06
1877,1e-06
1878,1e-06
1879,1e-06
1880,1e-06
1881,1e-06
1882,1e-06
1883,1e-06
1884,1e-06
1885,1e-06
1886,1e-06
1887,1e-06
1888,1e-06
1889,1e-06
1890,1.01e-06
1891,1.17e-06
1892,1.64e-06
1893,2.34e-06
1894,3.23e-06
1895,4.24e-06
1896,5.31e-06
1897,6.4000000000000006e-06
1898,7.43e-06
1899,8.35e-06
1900,9.100000000000001e-06
1901,9.72e-06
1902,1.03e-05
1903,1.08e-05
1904,1.1299999999999999e-05
1905,1.18e-05
1906,1.23e-05
1907,1.2800000000000001e-05
1908,1.33e-05
1909,1.3899999999999999e-05
1910,1.45e-05
1911,1.52e-05
1912,1.6e-05
1913,1.68e-05
1914,1.76e-05
1915,1.85e-05
1916,1.94e-05
1917,2.04e-05
1918,2.14e-05
1919,2.2499999999999998e-05
1920,2.36e-05
1921,2.81e-05
1922,3.86e-05
1923,5.38e-05
1924,7.280000000000001e-05
1925,9.42e-05
1926,0.00011700000000000001
1927,0.00014000000000000001
1928,0.000162
1929,0.000182
1930,0.000199
1931,0.000213
1932,0.00022700000000000002
1933,0.000241
1934,0.000254
1935,0.00026700000000000004
1936,0.00028000000000000003
1937,0.00029299999999999997
1938,0.000305
1939,0.00031800000000000003
1940,0.000332
1941,0.000345
1942,0.000359
1943,0.000374
1944,0.000389
1945,0.000404
1946,0.000421
1947,0.000439
1948,0.000458
1949,0.00047799999999999996
1950,0.0005
1951,0.000523
1952,0.000549
1953,0.000578
1954,0.000608
1955,0.000639
1956,0.0006720000000000001
1957,0.000707
1958,0.000742
1959,0.0007790000000000001
1960,0.000816
1961,0.000856
1962,0.000903
1963,0.000953
1964,0.00101
1965,0.00106
1966,0.00111
1967,0.00116
1968,0.00121
1969,0.00125
1970,0.0013
1971,0.0013
1972,0.00134
1973,0.00138
1974,0.0014199999999999998
1975,0.00146
1976,0.0015
1977,0.0015400000000000001
1978,0.00157
1979,0.00161
1980,0.00165
1981,0.0016699999999999998
1982,0.0016899999999999999
1983,0.00171
1984,0.00173
1985,0.00175
1986,0.0017900000000000001
1987,0.00184
1988,0.00189
1989,0.0019399999999999999
1990,0.00199
1991,0.002
1992,0.0020299999999999997
1993,0.00204
1994,0.00206
1995,0.00348
1996,0.00496
1997,0.00654
1998,0.00797
1999,0.0414
2000,0.0375
2001,0.0344
2002,0.0255
2003,0.027100000000000003
2004,0.023899999999999998
2005,0.021
2006,0.017
2007,0.013800000000000002
2008,0.0106
2009,0.0107
2010,0.0108
2011,0.012199999999999999
2012,0.016
2013,0.019600000000000003
2014,0.0181
2015,0.00808
2016,0.00622
2017,0.0068
2018,0.00723
2019,0.00797
