year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.047799999999999995,0.0,0.346,2.2e-18,1.2
1751,0.048,0.0,0.348,0.00075,1.21
1752,0.048100000000000004,0.0,0.349,0.0015,1.21
1753,0.0482,0.0,0.35,0.00225,1.21
1754,0.048299999999999996,0.0,0.351,0.003,1.22
1755,0.0484,0.0,0.353,0.00375,1.22
1756,0.0485,0.0,0.354,0.0045,1.23
1757,0.048600000000000004,0.0,0.355,0.00525,1.23
1758,0.0487,0.0,0.357,0.006,1.24
1759,0.0489,0.0,0.358,0.00675,1.24
1760,0.049,0.0,0.359,0.0075,1.25
1761,0.049100000000000005,0.0,0.36,0.00825,1.25
1762,0.0492,0.0,0.362,0.009,1.25
1763,0.0493,0.0,0.363,0.00975,1.26
1764,0.0494,0.0,0.364,0.0105,1.26
1765,0.0495,0.0,0.365,0.0112,1.27
1766,0.0496,0.0,0.367,0.012,1.27
1767,0.0497,0.0,0.368,0.0127,1.28
1768,0.0498,0.0,0.369,0.0135,1.28
1769,0.0499,0.0,0.371,0.014199999999999999,1.29
1770,0.05,0.0,0.372,0.015,1.29
1771,0.0501,0.0,0.373,0.0157,1.29
1772,0.0503,0.0,0.374,0.0165,1.3
1773,0.0504,0.0,0.376,0.0172,1.3
1774,0.0505,0.0,0.377,0.018,1.31
1775,0.0506,0.0,0.378,0.018699999999999998,1.31
1776,0.0507,0.0,0.379,0.0195,1.32
1777,0.0508,0.0,0.381,0.0202,1.32
1778,0.0509,0.0,0.382,0.021,1.33
1779,0.051,0.0,0.383,0.0217,1.33
1780,0.0511,0.0,0.385,0.0225,1.33
1781,0.0512,0.0,0.386,0.0232,1.34
1782,0.0513,0.0,0.387,0.024,1.34
1783,0.0514,0.0,0.388,0.0247,1.35
1784,0.0515,0.0,0.39,0.0255,1.35
1785,0.0516,0.0,0.391,0.026199999999999998,1.36
1786,0.0517,0.0,0.392,0.027,1.36
1787,0.0518,0.0,0.394,0.0277,1.36
1788,0.0519,0.0,0.395,0.0285,1.37
1789,0.052,0.0,0.396,0.0292,1.37
1790,0.0521,0.0,0.397,0.03,1.38
1791,0.0522,0.0,0.399,0.030699999999999998,1.38
1792,0.0523,0.0,0.4,0.0315,1.39
1793,0.0523,0.0,0.401,0.0322,1.39
1794,0.052399999999999995,0.0,0.402,0.033,1.4
1795,0.0525,0.0,0.404,0.0337,1.4
1796,0.0526,0.0,0.405,0.0345,1.4
1797,0.052700000000000004,0.0,0.406,0.0352,1.41
1798,0.0528,0.0,0.408,0.036,1.41
1799,0.052899999999999996,0.0,0.409,0.0367,1.42
1800,0.053,0.0,0.41,0.0375,1.42
1801,0.0531,0.0,0.411,0.038200000000000005,1.43
1802,0.053200000000000004,0.0,0.413,0.039,1.43
1803,0.0533,0.0,0.414,0.039700000000000006,1.44
1804,0.053399999999999996,0.0,0.415,0.0405,1.44
1805,0.0535,0.0,0.416,0.0412,1.44
1806,0.0535,0.0,0.418,0.042,1.45
1807,0.0536,0.0,0.419,0.0427,1.45
1808,0.053700000000000005,0.0,0.42,0.0435,1.46
1809,0.0538,0.0,0.422,0.0442,1.46
1810,0.053899999999999997,0.0,0.423,0.045,1.47
