year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,0.00016700000000000002,0.0,0.00023899999999999998,1.31e-20,0.00029099999999999997
1751,0.00016800000000000002,0.0,0.000242,4.62e-06,0.000294
1752,0.00017,0.0,0.000244,9.25e-06,0.000297
1753,0.000171,0.0,0.000247,1.3899999999999999e-05,0.0003
1754,0.00017299999999999998,0.0,0.000249,1.85e-05,0.00030199999999999997
1755,0.000175,0.0,0.000252,2.31e-05,0.000305
1756,0.000176,0.0,0.000254,2.77e-05,0.000308
1757,0.000178,0.0,0.000256,3.24e-05,0.000311
1758,0.00017999999999999998,0.0,0.000259,3.7e-05,0.000314
1759,0.00018099999999999998,0.0,0.000261,4.1599999999999995e-05,0.000317
1760,0.000183,0.0,0.000264,4.62e-05,0.00032
1761,0.000184,0.0,0.000266,5.0900000000000004e-05,0.000323
1762,0.000186,0.0,0.000268,5.55e-05,0.000326
1763,0.000188,0.0,0.00027100000000000003,6.0100000000000004e-05,0.00032900000000000003
1764,0.000189,0.0,0.000273,6.469999999999999e-05,0.000332
1765,0.000191,0.0,0.00027600000000000004,6.93e-05,0.000335
1766,0.000193,0.0,0.00027800000000000004,7.4e-05,0.00033800000000000003
1767,0.000194,0.0,0.00028100000000000005,7.86e-05,0.00034100000000000005
1768,0.00019600000000000002,0.0,0.000283,8.319999999999999e-05,0.00034399999999999996
1769,0.00019700000000000002,0.0,0.000285,8.78e-05,0.000347
1770,0.000199,0.0,0.00028799999999999995,9.25e-05,0.00034899999999999997
1771,0.000201,0.0,0.00029,9.71e-05,0.000352
1772,0.000202,0.0,0.00029299999999999997,0.000102,0.00035499999999999996
1773,0.000204,0.0,0.00029499999999999996,0.000106,0.000358
1774,0.000205,0.0,0.000298,0.000111,0.000361
1775,0.000207,0.0,0.0003,0.000116,0.000364
1776,0.00020899999999999998,0.0,0.00030199999999999997,0.00011999999999999999,0.000367
1777,0.00020999999999999998,0.0,0.000305,0.000125,0.00037
1778,0.000212,0.0,0.000307,0.000129,0.000373
1779,0.000213,0.0,0.00031,0.000134,0.000376
1780,0.000215,0.0,0.000312,0.00013900000000000002,0.000379
1781,0.000217,0.0,0.000314,0.00014299999999999998,0.000382
1782,0.00021799999999999999,0.0,0.000317,0.000148,0.00038500000000000003
1783,0.00022,0.0,0.000319,0.000153,0.000388
1784,0.000221,0.0,0.000322,0.000157,0.000391
1785,0.000223,0.0,0.000324,0.000162,0.00039400000000000004
1786,0.000224,0.0,0.00032700000000000003,0.000166,0.00039600000000000003
1787,0.00022600000000000002,0.0,0.00032900000000000003,0.000171,0.000399
1788,0.000228,0.0,0.000331,0.000176,0.000402
1789,0.000229,0.0,0.00033400000000000004,0.00017999999999999998,0.00040500000000000003
1790,0.000231,0.0,0.00033600000000000004,0.000185,0.000408
1791,0.000232,0.0,0.000339,0.00019,0.00041099999999999996
1792,0.00023400000000000002,0.0,0.00034100000000000005,0.000194,0.000414
1793,0.000235,0.0,0.00034300000000000004,0.000199,0.000417
1794,0.000237,0.0,0.00034599999999999995,0.000203,0.00041999999999999996
1795,0.00023799999999999998,0.0,0.000348,0.000208,0.000423
1796,0.00023999999999999998,0.0,0.00035099999999999997,0.000213,0.000426
1797,0.000242,0.0,0.00035299999999999996,0.000217,0.000429
1798,0.000243,0.0,0.000356,0.000222,0.000432
1799,0.000245,0.0,0.000358,0.00022700000000000002,0.000435
1800,0.000246,0.0,0.00035999999999999997,0.000231,0.000438
1801,0.000248,0.0,0.000363,0.000236,0.000441
1802,0.000249,0.0,0.000365,0.00023999999999999998,0.000443
1803,0.000251,0.0,0.000368,0.000245,0.000446
1804,0.000252,0.0,0.00037,0.00025,0.000449
1805,0.000254,0.0,0.000373,0.000254,0.00045200000000000004
1806,0.000255,0.0,0.000375,0.000259,0.000455
1807,0.000257,0.0,0.000377,0.000264,0.000458
