year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,6.92e-10
1922,2.57e-09
1923,5.339999999999999e-09
1924,8.7e-09
1925,1.24e-08
1926,1.5999999999999998e-08
1927,1.9400000000000002e-08
1928,2.22e-08
1929,2.4e-08
1930,2.47e-08
1931,2.4199999999999998e-08
1932,2.2699999999999998e-08
1933,2.04e-08
1934,1.77e-08
1935,1.47e-08
1936,1.18e-08
1937,9.06e-09
1938,6.82e-09
1939,5.31e-09
1940,4.75e-09
1941,4.840000000000001e-09
1942,5.11e-09
1943,5.54e-09
1944,6.1e-09
1945,6.76e-09
1946,7.51e-09
1947,8.329999999999999e-09
1948,9.18e-09
1949,1.01e-08
1950,1.09e-08
1951,1.18e-08
1952,1.29e-08
1953,1.4e-08
1954,1.5299999999999998e-08
1955,1.66e-08
1956,1.81e-08
1957,1.97e-08
1958,2.14e-08
1959,2.3200000000000003e-08
1960,2.52e-08
1961,2.73e-08
1962,2.9899999999999996e-08
1963,3.2799999999999996e-08
1964,3.6100000000000006e-08
1965,3.98e-08
1966,4.37e-08
1967,4.79e-08
1968,5.24e-08
1969,5.72e-08
1970,6.219999999999999e-08
1971,6.8e-08
1972,7.52e-08
1973,8.330000000000001e-08
1974,9.23e-08
1975,1.02e-07
1976,1.12e-07
1977,1.22e-07
1978,1.3100000000000002e-07
1979,1.41e-07
1980,1.41e-07
1981,3.19e-07
1982,7.21e-07
1983,1.6299999999999999e-06
1984,3.68e-06
1985,8.33e-06
1986,1.88e-05
1987,4.26e-05
1988,9.62e-05
1989,0.00021799999999999999
1990,0.00023899999999999998
1991,0.000882
1992,0.0019199999999999998
1993,0.0063
1994,0.0128
1995,0.029
1996,0.0498
1997,0.0713
1998,0.104
1999,0.128
2000,0.165
2001,0.222
2002,0.293
2003,0.4
2004,0.513
2005,0.648
2006,0.727
2007,0.826
2008,0.926
2009,1.07
2010,1.3
2011,1.34
2012,1.55
2013,1.8
2014,2.03
2015,2.5
2016,3.16
2017,3.17
2018,2.54
2019,2.53
