year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,1.7e-11
1942,6.46e-11
1943,1.37e-10
1944,2.3e-10
1945,3.37e-10
1946,4.5200000000000004e-10
1947,5.72e-10
1948,6.89e-10
1949,7.999999999999999e-10
1950,8.98e-10
1951,9.88e-10
1952,1.08e-09
1953,1.17e-09
1954,1.26e-09
1955,1.35e-09
1956,1.44e-09
1957,1.5299999999999999e-09
1958,1.62e-09
1959,1.7099999999999999e-09
1960,1.8e-09
1961,1.88e-09
1962,1.96e-09
1963,2.02e-09
1964,2.09e-09
1965,2.16e-09
1966,2.24e-09
1967,2.33e-09
1968,2.43e-09
1969,2.55e-09
1970,2.54e-09
1971,8.22e-07
1972,1.6299999999999999e-06
1973,2.93e-06
1974,4.1000000000000006e-06
1975,6.82e-06
1976,9.5e-06
1977,1.15e-05
1978,1.33e-05
1979,1.62e-05
1980,1.89e-05
1981,1.73e-05
1982,1.68e-05
1983,1.62e-05
1984,1.89e-05
1985,2.0799999999999997e-05
1986,2.3e-05
1987,2.5399999999999997e-05
1988,2.63e-05
1989,3.04e-05
1990,3.17e-05
1991,3.7199999999999996e-05
1992,4.15e-05
1993,4.12e-05
1994,4.04e-05
1995,3.84e-05
1996,3.5000000000000004e-05
1997,3.03e-05
1998,2.5399999999999997e-05
1999,2.4299999999999998e-05
2000,2.2800000000000002e-05
2001,2.58e-05
2002,2.88e-05
2003,3.15e-05
2004,3.5000000000000004e-05
2005,3.85e-05
2006,4.21e-05
2007,4.49e-05
2008,4.7600000000000005e-05
2009,3.56e-05
2010,3.65e-05
2011,3.68e-05
2012,3.5799999999999996e-05
2013,3.76e-05
2014,3.66e-05
2015,3.5999999999999994e-05
2016,4.0300000000000004e-05
2017,3.95e-05
2018,3.9699999999999996e-05
2019,3.99e-05
