year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,3.96e-13
1922,1.47e-12
1923,3.0600000000000003e-12
1924,4.979999999999999e-12
1925,7.0699999999999996e-12
1926,9.17e-12
1927,1.11e-11
1928,1.2699999999999999e-11
1929,1.37e-11
1930,1.41e-11
1931,1.38e-11
1932,1.3e-11
1933,1.17e-11
1934,1.01e-11
1935,8.43e-12
1936,6.74e-12
1937,5.18e-12
1938,3.9e-12
1939,3.04e-12
1940,2.72e-12
1941,2.77e-12
1942,2.93e-12
1943,3.17e-12
1944,3.4900000000000003e-12
1945,3.87e-12
1946,4.3e-12
1947,4.76e-12
1948,5.25e-12
1949,5.75e-12
1950,6.2499999999999994e-12
1951,6.78e-12
1952,7.37e-12
1953,8.02e-12
1954,8.739999999999999e-12
1955,9.52e-12
1956,1.0400000000000001e-11
1957,1.13e-11
1958,1.22e-11
1959,1.33e-11
1960,1.44e-11
1961,1.56e-11
1962,1.71e-11
1963,1.88e-11
1964,2.07e-11
1965,2.2700000000000003e-11
1966,2.4999999999999998e-11
1967,2.74e-11
1968,3e-11
1969,3.27e-11
1970,3.26e-11
1971,7.3e-11
1972,1.64e-10
1973,3.6699999999999997e-10
1974,8.220000000000001e-10
1975,1.84e-09
1976,4.1300000000000004e-09
1977,9.26e-09
1978,2.0699999999999997e-08
1979,4.65e-08
1980,1.0399999999999999e-07
1981,2.34e-07
1982,5.240000000000001e-07
1983,1.17e-06
1984,2.63e-06
1985,5.9e-06
1986,1.32e-05
1987,2.96e-05
1988,6.64e-05
1989,0.000149
1990,0.00017
1991,0.00045400000000000003
1992,0.00107
1993,0.0043
1994,0.00845
1995,0.0188
1996,0.0916
1997,0.2
1998,0.345
1999,0.467
2000,0.997
2001,1.04
2002,1.4
2003,1.77
2004,2.32
2005,2.92
2006,3.19
2007,3.59
2008,3.99
2009,4.35
2010,4.71
2011,5.3
2012,6.56
2013,6.89
2014,7.6
2015,7.41
2016,8.12
2017,8.53
2018,8.47
2019,9.36
